Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
80,10.11,0.4,Adam GEMILI,6-Oct-93,GBR,5,"Letzigrund, Zürich (SUI)",1-Sep-16,1169
85,10.12,1.2,Emre Zafer BARNES,7-Nov-88,TUR,f3,"San Antonio, TX (USA)",26-Mar-16,1165
85,10.12,0,Dentarius LOCKE,12-Dec-89,USA,3f1,"Athens, GA (USA)",30-Apr-16,1165
85,10.12,1.1,Mosito LEHATA,8-Apr-89,LES,3,"Stadion Juliska, Praha (CZE)",6-Jun-16,1165
85,10.12,1.6,Chadic HINDS,11-Aug-92,JAM,3f2,Kingston (JAM),11-Jun-16,1165
85,10.12,1.5,Kemar HYMAN,11-Oct-89,CAY,1sf2,"Moratalaz, Madrid (ESP)",23-Jun-16,1165
85,10.12,1.9,Stuart DUTAMBY,24-Apr-94,FRA,2,Angers (FRA),25-Jun-16,1165
85,10.12,0,Seye OGUNLEWE,30-Aug-91,NGR,1,Sapele (NGR),8-Jul-16,1165
92,10.13,1,Oshane BAILEY,8-Sep-89,JAM,7,"National Stadium, Kingston (JAM)",7-May-16,1162
92,10.13,1.4,Dedric DUKES,4-Feb-92,USA,1f3,"Clermont, FL (USA)",14-May-16,1162
92,10.13,1.6,Jurgen THEMEN,26-Oct-85,SUR,1,"Bradenton, FL (USA)",28-May-16,1162
92,10.13,1.8,Trentavis FRIDAY,5-Jun-95,USA,6f1,"Montverde, FL (USA)",11-Jun-16,1162
92,10.13,0.8,Calesio NEWMAN,20-Aug-86,USA,1h2,"Chula Vista, CA (USA)",18-Jun-16,1162
92,10.13,1.5,Solomon BOCKARIE,18-May-87,NED,4sf1,"Olympisch Stadion, Amsterdam (NED)",7-Jul-16,1162
98,10.14,1.1,Emmanuel MATADI,15-Apr-91,USA,1f1,"Redlands, CA (USA)",18-Mar-16,1159
98,10.14,1.2,Gabriel MVUMVURE,23-Feb-88,ZIM,1f1,"Baton Rouge, LA (USA)",9-Apr-16,1159
