Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
57,10.12,1.2,Brijesh LAWRENCE,27-Dec-89,SKN,1,"Crete, NE (USA)",21-Apr-12,1165
57,10.12,1.5,Oshane BAILEY,8-Sep-89,JAM,3f1,"Clermont, FL (USA)",19-May-12,1165
59,10.13,1.1,Jaysuma SAIDY NDURE,1-Jul-84,NOR,1sf1,Helsinki (FIN),27-Jun-12,1162
59,10.13,0.4,James DASAOLU,5-Sep-87,GBR,3h4,"Olympic Stadium, London (GBR)",4-Aug-12,1162
61,10.14,1,Sheldon MITCHELL,19-Jul-90,JAM,2f2,"National Stadium, Kingston (JAM)",5-May-12,1159
61,10.14,1.3,Gavin SMELLIE,26-Jun-86,CAN,1f4,Weinheim (GER),27-Jul-12,1159
63,10.15,1.8,Dexter LEE,18-Jan-91,JAM,7f1,"National Stadium, Kingston (JAM)",5-May-12,1155
63,10.15,1.5,Zye BOEY,8-May-89,USA,1sf3,"Austin, TX (USA)",25-May-12,1155
63,10.15,1.2,Darrell WESH,21-Feb-92,USA,1h1,"Des Moines, IA (USA)",6-Jun-12,1155
63,10.15,0.8,Rytis SAKALAUSKAS,27-Jun-87,LTU,1f1,Valmiera (LAT),8-Jun-12,1155
67,10.17,0.2,Michael GRANGER,17-Mar-91,USA,1f1,"Oxford, MS (USA)",14-Apr-12,1148
67,10.17,1.9,Mickey GRIMES,10-Oct-76,USA,1f1,"Azusa, CA (USA)",20-Apr-12,1148
67,10.17,-0.6,Nicholas WATSON,16-Sep-89,JAM,1f1,Kingston (JAM),19-May-12,1151
67,10.17,1.7,Ameer WEBB,19-Mar-91,USA,1h6,"Austin, TX (USA)",24-May-12,1148
67,10.17,1.2,Aaron ERNEST,8-Nov-93,USA,2h1,"Des Moines, IA (USA)",6-Jun-12,1148
67,10.17,1.8,Ángel David RODRÍGUEZ,25-Apr-80,ESP,1,Monachil (ESP),9-Jun-12,1148
67,10.17,1.6,Philippe DEROSIER,11-Apr-84,USA,3h4,"Hayward Field, Eugene, OR (USA)",23-Jun-12,1148
67,10.17,1.4,Jamol JAMES,16-Jul-92,TTO,6f2,Port-of-Spain (TTO),23-Jun-12,1148
75,10.18,1.3,Masashi ERIGUCHI,17-Dec-88,JPN,1h1,Hiroshima (JPN),29-Apr-12,1145
75,10.18,2,Aaron BROWN,27-May-92,CAN,1,"Eugene, OR (USA)",13-May-12,1145
75,10.18,1.5,Dentarius LOCKE,12-Dec-89,USA,4f1,"Clermont, FL (USA)",19-May-12,1145
75,10.18,1.2,Warren FRASER,8-Jul-91,BAH,3h1,"Des Moines, IA (USA)",6-Jun-12,1145
75,10.18,1.3,Everett WALKER,3-Oct-90,USA,5h3,"Des Moines, IA (USA)",6-Jun-12,1145
75,10.18,0.7,Suwaibou SANNEH,10-Mar-90,GAM,8sf1,"Olympic Stadium, London (GBR)",5-Aug-12,1145
81,10.19,1.5,Marek NIIT,9-Aug-87,EST,1f1,"Fayetteville, AR (USA)",31-Mar-12,1142
81,10.19,1.3,Abraham HALL,1993,USA,1,"Austin, TX (USA)",12-May-12,1142
81,10.19,1.7,Tyreek HILL,1-Mar-94,USA,1h2,"Orlando, FL (USA)",26-May-12,1142
81,10.19,0.1,Julian FORTE,7-Jan-93,JAM,1f1,Kingston (JAM),26-May-12,1142
81,10.19,-0.1,Aleksandr BREDNEV,4-Feb-88,RUS,1h2,Zhukovskiy (RUS),17-Jun-12,1142
81,10.19,0.8,Ogho-Oghene EGWERO,26-Nov-88,NGR,2,Calabar (NGR),22-Jun-12,1142
81,10.19,0,Jeremy BASCOM,15-Oct-83,GUY,1,"Omaha, NE (USA)",6-Jul-12,1142
81,10.19,1,Jared CONNAUGHTON,20-Jul-85,CAN,2,Ottawa (CAN),14-Jul-12,1142
81,10.19,1.3,Bingtian SU,29-Aug-89,CHN,3h6,"Olympic Stadium, London (GBR)",4-Aug-12,1142
81,10.19,0.5,Yoshihide KIRYU,15-Dec-95,JPN,1,Fukuroi (JPN),3-Nov-12,1142
81,10.19,1.3,Akani SIMBINE,21-Sep-93,RSA,1,Lusaka (ZAM),11-Dec-12,1142
92,10.2,0.9,Roscoe ENGEL,6-Mar-89,RSA,2,Port Elizabeth (RSA),14-Apr-12,1138
92,10.2,1,Kimmari ROACH,17-Apr-89,JAM,5f2,"National Stadium, Kingston (JAM)",5-May-12,1138
92,10.2,0.4,Ivory WILLIAMS,2-May-85,USA,2f2,Port-of-Spain (TTO),19-May-12,1138
92,10.2,0.8,Patrick Ike CHINEDU,26-Apr-84,NGR,1,Tres Cantos (ESP),2-Jun-12,1138
92,10.2,0.3,Dariusz KUĆ,24-Apr-86,POL,1,Bielsko-Biala (POL),15-Jun-12,1138
92,10.2,1.5,Lucas JAKUBCZYK,28-Apr-85,GER,1h3,"Wattenscheid, Bochum (GER)",16-Jun-12,1138
92,10.2,0.1,Rodney GREEN,8-Dec-85,BAH,1h4,Nassau (BAH),22-Jun-12,1138
92,10.2,1,Ian WARNER,15-May-90,CAN,2,Calgary (CAN),29-Jun-12,1138
92,10.2,0,Kenroy ANDERSON,27-Jun-87,JAM,1,La Roche-sur-Yon (FRA),18-Jul-12,1138
1,9.76,1.3,Usain BOLT,21-Aug-86,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",16-Sep-11,1291
2,9.78,1,Asafa POWELL,23-Nov-82,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",30-Jun-11,1283
3,9.79,1.1,Tyson GAY,9-Aug-82,USA,1h1,"Clermont, FL (USA)",4-Jun-11,1280
4,9.8,1.3,Steve MULLINGS,29-Nov-82,JAM,1,"Hayward Field, Eugene, OR (USA)",4-Jun-11,1276
5,9.82,0,Yohan BLAKE,26-Dec-89,JAM,1,"Letzigrund, Zürich (SUI)",8-Sep-11,1269
6,9.85,1.3,Michael RODGERS,24-Apr-85,USA,2,"Hayward Field, Eugene, OR (USA)",4-Jun-11,1259
6,9.85,1,Richard THOMPSON,7-Jun-85,TTO,1,Port-of-Spain (TTO),13-Aug-11,1259
8,9.88,1,Michael FRATER,6-Oct-82,JAM,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",30-Jun-11,1248
9,9.89,1.3,Ngonidzashe MAKUSHA,11-Mar-87,ZIM,1,"Des Moines, IA (USA)",10-Jun-11,1245
9,9.89,1.3,Nesta CARTER,11-Oct-85,JAM,2,"Boudewijnstadion, Bruxelles (BEL)",16-Sep-11,1245
11,9.92,2,Christophe LEMAITRE,11-Jun-90,FRA,1,Albi (FRA),29-Jul-11,1234
12,9.93,1,Keston BLEDMAN,8-Mar-88,TTO,1f1,"Clermont, FL (USA)",4-Jun-11,1231
13,9.94,1.3,Darvis PATTON,4-Dec-77,USA,4,"Hayward Field, Eugene, OR (USA)",4-Jun-11,1227
13,9.94,1.3,Walter DIX,31-Jan-86,USA,1,"Hayward Field, Eugene, OR (USA)",24-Jun-11,1227
15,9.95,1.3,Justin GATLIN,10-Feb-82,USA,2,"Hayward Field, Eugene, OR (USA)",24-Jun-11,1224
16,9.96,1.1,Nickel ASHMEADE,7-Apr-90,JAM,2h1,"Clermont, FL (USA)",4-Jun-11,1220
17,9.97,1.3,Rakieem SALAAM,5-Apr-90,USA,2,"Des Moines, IA (USA)",10-Jun-11,1217
17,9.97,0.5,Daniel BAILEY,9-Sep-86,ANT,1,Strasbourg (FRA),12-Jun-11,1217
19,9.99,2,Travis PADGETT,13-Dec-86,USA,2f1,"Clermont, FL (USA)",21-May-11,1210
19,9.99,1,Jaysuma SAIDY NDURE,1-Jul-84,NOR,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",30-Jun-11,1210
21,10,1.3,Maurice MITCHELL,22-Dec-89,USA,3,"Des Moines, IA (USA)",10-Jun-11,1206
21,10,0.4,Kim COLLINS,5-Apr-76,SKN,1sf2,Guadalajara (MEX),24-Oct-11,1206
23,10.01,2,Dwain CHAMBERS,5-Apr-78,GBR,1f1,São Paulo (BRA),22-May-11,1203
23,10.01,0.2,Lerone CLARKE,7-Jul-81,JAM,1,Guadalajara (MEX),25-Oct-11,1203
25,10.02,1.3,Ivory WILLIAMS,2-May-85,USA,8,"Hayward Field, Eugene, OR (USA)",4-Jun-11,1199
26,10.04,0.7,Jeff DEMPS,8-Jan-90,USA,1h4,"Hayward Field, Eugene, OR (USA)",23-Jun-11,1193
26,10.04,1.3,Trell KIMMONS,13-Jul-85,USA,4,"Hayward Field, Eugene, OR (USA)",24-Jun-11,1193
28,10.06,1.3,Gerald PHIRI,6-Oct-88,ZAM,1,"Austin, TX (USA)",9-Apr-11,1186
28,10.06,2,Dexter LEE,18-Jan-91,JAM,2f1,São Paulo (BRA),22-May-11,1186
28,10.06,2,Ogho-Oghene EGWERO,26-Nov-88,NGR,1sf2,Maputo (MOZ),12-Sep-11,1186
31,10.07,0.2,Femi OGUNODE,15-May-91,QAT,1,Rio de Janeiro (BRA),21-Jul-11,1182
31,10.07,0.3,Jimmy VICAUT,27-Feb-92,FRA,1,Tallinn (EST),22-Jul-11,1182
31,10.07,1,Aaron ARMSTRONG,14-Oct-77,TTO,3,Port-of-Spain (TTO),13-Aug-11,1182
34,10.09,1.4,Jak Ali HARVEY,4-May-89,JAM,1,"National Stadium, Kingston (JAM)",7-May-11,1176
34,10.09,0.8,Aziz OUHADI,24-Jul-84,MAR,1f1,Dakar (SEN),28-May-11,1176
34,10.09,1,Marc BURNS,7-Jan-83,TTO,4,Port-of-Spain (TTO),13-Aug-11,1176
37,10.1,0.3,Churandy MARTINA,3-Jul-84,NED,2,"Blankers-Koen Stadion, Hengelo (NED)",29-May-11,1172
38,10.11,1.1,James DASAOLU,5-Sep-87,GBR,1f1,Genève (SUI),28-May-11,1169
38,10.11,1.1,Mario FORSYTHE,30-Oct-85,JAM,1h1,"Blankers-Koen Stadion, Hengelo (NED)",29-May-11,1169
38,10.11,0.5,Ainsley WAUGH,17-Sep-81,JAM,2,Lappeenranta (FIN),13-Aug-11,1169
41,10.12,1,Emmanuel CALLENDER,10-May-84,TTO,5,Port-of-Spain (TTO),13-Aug-11,1165
42,10.13,2,Martial MBANDJOCK,14-Oct-85,FRA,2,"Lawrence, KS (USA)",23-Apr-11,1162
42,10.13,1.7,Prezel HARDY,1-Jun-92,USA,1f2,"Waco, TX (USA)",23-Apr-11,1162
42,10.13,1.8,Justin MURDOCK,21-Apr-89,USA,1h1,"Clemson, SC (USA)",13-May-11,1162
42,10.13,1.1,Harry AIKINES-ARYEETEY,29-Aug-88,GBR,2f1,Genève (SUI),28-May-11,1162
42,10.13,1.1,Rae Monzavous EDWARDS,7-May-81,USA,3h1,"Blankers-Koen Stadion, Hengelo (NED)",29-May-11,1162
42,10.13,1,Darrel BROWN,11-Oct-84,TTO,6,Port-of-Spain (TTO),13-Aug-11,1162
42,10.13,1.8,Amr Ibrahim Mostafa SEOUD,10-Jun-86,EGY,1sf1,Maputo (MOZ),12-Sep-11,1162
49,10.14,,Juane MILNER,,USA,2h1,"Jonesboro, AR (USA)",21-Apr-11,1159
49,10.14,1.8,Calesio NEWMAN,20-Aug-86,USA,1f1,"Greensboro, NC (USA)",15-May-11,1159
49,10.14,0.6,Kimmari ROACH,17-Apr-89,JAM,4sf1,Kingston (JAM),24-Jun-11,1159
49,10.14,0.9,Andrew HINDS,25-Apr-84,BAR,1,Bridgetown (BAR),25-Jun-11,1159
49,10.14,1.2,Marlon DEVONISH,1-Jun-76,GBR,3,Birmingham (GBR),30-Jul-11,1159
49,10.14,0.5,Ramil GULIYEV,29-May-90,TUR,3,Lappeenranta (FIN),13-Aug-11,1159
49,10.14,-0.2,Rytis SAKALAUSKAS,27-Jun-87,LTU,2,"National Stadium, Shenzhen (CHN)",17-Aug-11,1160
49,10.14,1.8,Idrissa ADAM,28-Dec-84,CMR,2sf1,Maputo (MOZ),12-Sep-11,1159
49,10.14,1.8,Masashi ERIGUCHI,17-Dec-88,JPN,1,Yamaguchi (JPN),8-Oct-11,1159
58,10.15,1,Oshane BAILEY,8-Sep-89,JAM,3f1,"Clermont, FL (USA)",4-Jun-11,1155
58,10.15,0.9,Justyn WARNER,28-Jun-87,CAN,1f2,Toronto (CAN),11-Jun-11,1155
58,10.15,1.2,Dariusz KUĆ,24-Apr-86,POL,1,Kraków (POL),12-Jun-11,1155
61,10.16,1.4,Thuso MPUANG,1-Mar-84,RSA,1f1,Donnas (ITA),3-Jul-11,1152
61,10.16,0.7,Bingtian SU,29-Aug-89,CHN,1,Hefei (CHN),8-Sep-11,1152
63,10.17,0.9,Emre Zafer BARNES,7-Nov-88,JAM,1f1,Kingston (JAM),12-Mar-11,1148
63,10.17,0.7,Leroy DIXON,20-Jun-83,USA,3,"Walnut, CA (USA)",16-Apr-11,1148
63,10.17,0.9,Christian MALCOLM,3-Jun-79,GBR,2sf3,Birmingham (GBR),30-Jul-11,1148
63,10.17,1,Rondel SORRILLO,21-Jan-86,TTO,7,Port-of-Spain (TTO),13-Aug-11,1148
63,10.17,1.8,Barakat AL HARTHI,15-Jun-88,OMA,1,Manama (BRN),17-Oct-11,1148
68,10.18,0.8,Kenroy ANDERSON,27-Jun-87,JAM,1f2,Kingston (JAM),12-Mar-11,1145
68,10.18,1.6,Simon MAGAKWE,14-May-86,RSA,1sf3,Durban (RSA),9-Apr-11,1145
68,10.18,1.3,Shane CRAWFORD,4-Jun-88,USA,1,"Iowa City, IA (USA)",15-May-11,1145
68,10.18,2,Nilson Andre DE OLIVEIRA,30-Jan-86,BRA,3f1,São Paulo (BRA),22-May-11,1145
68,10.18,1,Peter EMELIEZE,19-Apr-88,NGR,1f1,Weinheim (GER),28-May-11,1145
68,10.18,1.2,Francis OBIKWELU,22-Nov-78,POR,2,Kraków (POL),12-Jun-11,1145
68,10.18,1.4,Ronalds ARĀJS,29-Nov-87,LAT,2f1,Donnas (ITA),3-Jul-11,1145
75,10.19,1.6,Roscoe ENGEL,6-Mar-89,RSA,2sf3,Durban (RSA),9-Apr-11,1142
75,10.19,1,Harry ADAMS,27-Nov-89,USA,1h1,"Athens, GA (USA)",14-May-11,1142
75,10.19,1.3,Terrell WILKS,30-Dec-89,USA,5,"Des Moines, IA (USA)",10-Jun-11,1142
75,10.19,0.3,Jonathan HANCOCK,31-Mar-87,USA,1f1,"Charlotte, NC (USA)",17-Jun-11,1142
75,10.19,1.9,Craig PICKERING,16-Oct-86,GBR,1sf1,Bedford (GBR),16-Jul-11,1142
75,10.19,1.4,Reto Amaru SCHENKEL,28-Apr-88,SUI,1h1,Fribourg (SUI),30-Jul-11,1142
75,10.19,1.3,Mark LEWIS-FRANCIS,4-Sep-82,GBR,7,"Boudewijnstadion, Bruxelles (BEL)",16-Sep-11,1142
82,10.2,1.3,Woodrow RANDALL,9-Nov-89,USA,2,"Austin, TX (USA)",9-Apr-11,1138
82,10.2,1.4,Remaldo ROSE,18-Nov-87,JAM,2,"National Stadium, Kingston (JAM)",7-May-11,1138
82,10.2,0.7,Charles SILMON,4-Jul-91,USA,1h2,"Fort Collins, CO (USA)",13-May-11,1138
82,10.2,1.3,Stanley AZIE,13-Mar-89,USA,2,"Iowa City, IA (USA)",15-May-11,1138
82,10.2,0.7,Cordero GRAY,9-May-89,USA,3h4,"Hayward Field, Eugene, OR (USA)",23-Jun-11,1138
82,10.2,0.9,Gavin SMELLIE,26-Jun-86,CAN,1,Ottawa (CAN),16-Jul-11,1138
82,10.2,1.9,Alex SCHAF,28-Apr-87,GER,1f2,Mannheim (GER),13-Aug-11,1138
89,10.21,1.9,Marek NIIT,9-Aug-87,EST,1,"Austin, TX (USA)",25-Mar-11,1135
89,10.21,0.8,Keenan BROCK,1-Jun-92,USA,1f1,"Auburn, AL (USA)",2-Apr-11,1135
89,10.21,1.9,Carlos Rafael JORGE,24-Sep-86,DOM,1h2,Ponce (PUR),15-Apr-11,1135
89,10.21,1.9,Daniel Alfonso GRUESO,30-Jul-85,COL,1h2,Ponce (PUR),15-Apr-11,1135
89,10.21,1.4,Christopher DAVIS,1-Mar-86,USA,1f1,"Charlotte, NC (USA)",23-Apr-11,1135
89,10.21,0.8,J-Mee SAMUELS,20-May-87,USA,3,Baie Mahault (FRA),7-May-11,1135
89,10.21,0.5,Ahmad RASHAD,12-Dec-87,USA,1f1,"Los Angeles, CA (USA)",7-May-11,1135
89,10.21,1.3,Justin AUSTIN,10-Aug-89,USA,3,"Iowa City, IA (USA)",15-May-11,1135
89,10.21,1.8,Daniel TALBOT,1-May-91,GBR,1f1,Loughborough (GBR),22-May-11,1135
89,10.21,0.8,Ben Youssef MEITÉ,11-Nov-86,CIV,2f1,Dakar (SEN),28-May-11,1135
89,10.21,1.8,Jared CONNAUGHTON,20-Jul-85,CAN,1h2,"Clermont, FL (USA)",11-Jun-11,1135
89,10.21,0.7,Peimeng ZHANG,13-Mar-87,CHN,2,Hefei (CHN),8-Sep-11,1135
1,9.78,-0.4,Tyson GAY,9-Aug-82,USA,1,"Crystal Palace, London (GBR)",13-Aug-10,1285
1,9.78,0.9,Nesta CARTER,11-Oct-85,JAM,1,"Guidobaldi, Rieti (ITA)",29-Aug-10,1283
3,9.82,0.6,Asafa POWELL,23-Nov-82,JAM,1,"Stadio Olimpico, Roma (ITA)",10-Jun-10,1269
3,9.82,0.5,Usain BOLT,21-Aug-86,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",8-Jul-10,1269
5,9.88,1,Walter DIX,31-Jan-86,USA,2f2,Luzern (SUI),8-Aug-10,1248
5,9.88,0.9,Ryan BAILEY,13-Apr-89,USA,2,"Guidobaldi, Rieti (ITA)",29-Aug-10,1248
7,9.89,-0.4,Yohan BLAKE,26-Dec-89,JAM,2,"Crystal Palace, London (GBR)",13-Aug-10,1247
8,9.95,0.8,Ivory WILLIAMS,2-May-85,USA,1,"Lawrence, KS (USA)",17-Apr-10,1224
8,9.95,-0.8,Trell KIMMONS,13-Jul-85,USA,1f2,"Letzigrund, Zürich (SUI)",19-Aug-10,1228
8,9.95,0.9,Mario FORSYTHE,30-Oct-85,JAM,3,"Guidobaldi, Rieti (ITA)",29-Aug-10,1224
11,9.97,0.9,Christophe LEMAITRE,11-Jun-90,FRA,4,"Guidobaldi, Rieti (ITA)",29-Aug-10,1217
12,9.98,0.9,Michael FRATER,6-Oct-82,JAM,5,"Guidobaldi, Rieti (ITA)",29-Aug-10,1213
13,9.99,1.1,Dwain CHAMBERS,5-Apr-78,GBR,1f1,"Fana Stadion, Bergen (NOR)",19-Jun-10,1210
14,10,1.4,Rae Monzavous EDWARDS,7-May-81,USA,1f2,"Icahn Stadium, New York, NY (USA)",12-Jun-10,1206
14,10,-0.1,Daniel BAILEY,9-Sep-86,ANT,1f1,Reims (FRA),30-Jun-10,1206
14,10,0.9,Michael RODGERS,24-Apr-85,USA,6,"Guidobaldi, Rieti (ITA)",29-Aug-10,1206
14,10,0.9,Jaysuma SAIDY NDURE,1-Jul-84,NOR,7,"Guidobaldi, Rieti (ITA)",29-Aug-10,1206
18,10.01,1.4,Keston BLEDMAN,8-Mar-88,TTO,2f2,"Icahn Stadium, New York, NY (USA)",12-Jun-10,1203
18,10.01,0.7,Richard THOMPSON,7-Jun-85,TTO,1,Port-of-Spain (TTO),26-Jun-10,1203
20,10.03,1.6,Churandy MARTINA,3-Jul-84,AHO,1f1,"El Paso, TX (USA)",10-Apr-10,1196
20,10.03,1.2,Steve MULLINGS,29-Nov-82,JAM,1h3,Lappeenranta (FIN),15-Jul-10,1196
20,10.03,1,J-Mee SAMUELS,20-May-87,USA,3f2,Luzern (SUI),8-Aug-10,1196
23,10.06,1.3,Jeff DEMPS,8-Jan-90,USA,1,"Knoxville, TN (USA)",16-May-10,1186
23,10.06,1.7,Sam EFFAH,29-Dec-88,CAN,1,"Hollywood, FL (USA)",9-Jul-10,1186
25,10.08,1.3,Martial MBANDJOCK,14-Oct-85,FRA,2,Valence (FRA),9-Jul-10,1179
25,10.08,1.9,Ben Youssef MEITÉ,11-Nov-86,CIV,1,"Nyayo National Stadium, Nairobi (KEN)",29-Jul-10,1179
27,10.09,0.9,Justin GATLIN,10-Feb-82,USA,2f1,Rovereto (ITA),31-Aug-10,1176
28,10.1,1.2,Lerone CLARKE,7-Jul-81,JAM,4h2,"Bislett Stadion, Oslo (NOR)",4-Jun-10,1172
28,10.1,0.8,Travis PADGETT,13-Dec-86,USA,2f2,Liège (BEL),13-Jul-10,1172
28,10.1,0,Ogho-Oghene EGWERO,26-Nov-88,NGR,1,Abuja (NGR),8-Sep-10,1172
31,10.11,1.4,Marc BURNS,7-Jan-83,TTO,3f2,"Icahn Stadium, New York, NY (USA)",12-Jun-10,1169
31,10.11,1.7,Oshane BAILEY,8-Sep-89,JAM,2,"Hollywood, FL (USA)",9-Jul-10,1169
33,10.12,1.9,Aziz ZAKARI,2-Sep-76,GHA,2,"Nyayo National Stadium, Nairobi (KEN)",29-Jul-10,1165
34,10.13,1.4,Gerald PHIRI,6-Oct-88,ZAM,1,"Columbia, MO (USA)",16-May-10,1162
34,10.13,1.6,Leroy DIXON,20-Jun-83,USA,1,Maringa (BRA),30-May-10,1162
34,10.13,1.6,Derrick ATKINS,5-Jan-84,BAH,2,Maringa (BRA),30-May-10,1162
34,10.13,0.1,Kimmari ROACH,17-Apr-89,JAM,1sf1,Kingston (JAM),26-Jun-10,1162
38,10.14,0.7,Emmanuel CALLENDER,10-May-84,TTO,3,Port-of-Spain (TTO),26-Jun-10,1159
38,10.14,1.2,Tobias UNGER,10-Jul-79,GER,1,Mannheim (GER),3-Jul-10,1159
38,10.14,1.7,Maurice MITCHELL,22-Dec-89,USA,3,"Hollywood, FL (USA)",9-Jul-10,1159
38,10.14,1.9,Simon MAGAKWE,14-May-86,RSA,3,"Nyayo National Stadium, Nairobi (KEN)",29-Jul-10,1159
38,10.14,0.9,Aaron ARMSTRONG,14-Oct-77,TTO,1sf1,New Delhi (IND),7-Oct-10,1159
43,10.15,0.9,Wallace SPEARMON,24-Dec-84,USA,3,Nuoro (ITA),14-Jul-10,1155
43,10.15,0.6,Mark LEWIS-FRANCIS,4-Sep-82,GBR,1h1,New Delhi (IND),6-Oct-10,1155
45,10.16,1.8,Masashi ERIGUCHI,17-Dec-88,JPN,1h4,Marugame (JPN),5-Jun-10,1152
45,10.16,-0.2,Simone COLLIO,27-Dec-79,ITA,1,Grosseto (ITA),30-Jun-10,1153
45,10.16,0.8,Jimmy VICAUT,27-Feb-92,FRA,1h1,Mannheim (GER),3-Jul-10,1152
45,10.16,-0.9,Dexter LEE,18-Jan-91,JAM,2,Barcelona (ESP),9-Jul-10,1157
49,10.17,1.8,Aaron ROUGE-SERRET,21-Jan-88,AUS,1,Perth (AUS),26-Mar-10,1148
49,10.17,1.3,Marcus ROWLAND,11-Mar-90,USA,2,"Knoxville, TN (USA)",16-May-10,1148
49,10.17,-1.2,Emanuele DI GREGORIO,13-Dec-80,ITA,2sf1,"Estadio Olímpico, Barcelona (ESP)",28-Jul-10,1155
52,10.18,1.5,Patrick JOHNSON,26-Sep-72,AUS,1,Perth (AUS),19-Feb-10,1145
52,10.18,1.2,Ryan MOSELEY,8-Oct-82,AUT,5h2,"Bislett Stadion, Oslo (NOR)",4-Jun-10,1145
52,10.18,-1,Francis OBIKWELU,22-Nov-78,POR,4,"Estadio Olímpico, Barcelona (ESP)",28-Jul-10,1151
52,10.18,1.9,Amr Ibrahim Mostafa SEOUD,10-Jun-86,EGY,4,"Nyayo National Stadium, Nairobi (KEN)",29-Jul-10,1145
52,10.18,0.2,Marlon DEVONISH,1-Jun-76,GBR,1f1,Luzern (SUI),8-Aug-10,1145
57,10.19,0.8,Darvis PATTON,4-Dec-77,USA,2,"Lawrence, KS (USA)",17-Apr-10,1142
57,10.19,1.3,Rondel SORRILLO,21-Jan-86,TTO,3,"Knoxville, TN (USA)",16-May-10,1142
57,10.19,1.3,Luther AMBROSE,4-Oct-88,USA,1h6,"Greensboro, NC (USA)",27-May-10,1142
57,10.19,0.6,Adrian GRIFFITH,11-Nov-84,BAH,2h1,New Delhi (IND),6-Oct-10,1142
61,10.2,1.6,Cruz Rolando PALACIOS,3-May-87,HON,1,San Salvador (ESA),31-Jan-10,1138
61,10.2,-1,Ahmad RASHAD,12-Dec-87,USA,1,"Berkeley, CA (USA)",16-May-10,1144
61,10.2,0.4,Kim COLLINS,5-Apr-76,SKN,2,"Wattenscheid, Bochum (GER)",26-Jun-10,1138
64,10.21,,Benjamin ADUKWA,23-Nov-89,NGR,2,Kaduna (NGR),27-Mar-10,1135
64,10.21,0.6,Fred ROSE,29-Jul-89,USA,1f2,"Baton Rouge, LA (USA)",17-Apr-10,1135
64,10.21,1.2,Nilson Andre DE OLIVEIRA,30-Jan-86,BRA,7f1,Rio de Janeiro (BRA),23-May-10,1135
64,10.21,1.2,Yi LAO,11-Oct-85,CHN,1,Chongqing (CHN),26-Jun-10,1135
64,10.21,0.5,Marvin ANDERSON,12-May-82,JAM,1,Ljubljana (SLO),29-Aug-10,1135
64,10.21,0.8,Peter EMELIEZE,19-Apr-88,NGR,1h7,New Delhi (IND),6-Oct-10,1135
70,10.22,0.1,Jerel HILL,13-Sep-87,USA,1f2,"Greensboro, NC (USA)",28-May-10,1132
70,10.22,0.5,Fabio CERUTTI,26-Sep-85,ITA,1,Avellino (ITA),16-Jun-10,1132
70,10.22,1.2,Ronald POGNON,16-Nov-82,FRA,1h1,La Chaux-de-Fonds (SUI),4-Jul-10,1132
70,10.22,0.5,Ainsley WAUGH,17-Sep-81,JAM,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",8-Jul-10,1132
74,10.23,1.5,Matthew DAVIES,18-Apr-85,AUS,2,Perth (AUS),19-Feb-10,1128
74,10.23,1.6,Brian MARIANO,22-Jan-85,AHO,3f1,"El Paso, TX (USA)",10-Apr-10,1128
74,10.23,0.5,Javon YOUNG,21-Aug-90,USA,1f1,"Charleston, SC (USA)",17-Apr-10,1128
74,10.23,0.4,Lee PROWELL,11-Jan-75,GUY,1h5,"New York, NY (USA)",18-Apr-10,1128
74,10.23,1.2,Tyrone EDGAR,29-Mar-82,GBR,4h2,"Mestský Stadion, Ostrava (CZE)",27-May-10,1128
74,10.23,2,Kukyoung KIM,19-Apr-91,KOR,1sf1,Daegu (KOR),7-Jun-10,1128
74,10.23,0.2,James ELLINGTON,6-Sep-85,GBR,1,Genève (SUI),12-Jun-10,1128
74,10.23,0,Rikki FIFTON,17-Jun-85,GBR,1f1,Genève (SUI),12-Jun-10,1128
74,10.23,1.1,Ángel David RODRÍGUEZ,25-Apr-80,ESP,4f1,"Fana Stadion, Bergen (NOR)",19-Jun-10,1128
74,10.23,-0.6,James DASAOLU,5-Sep-87,GBR,2,Birmingham (GBR),26-Jun-10,1131
74,10.23,1,Jan VELEBA,6-Dec-86,CZE,1f1,Pardubice (CZE),3-Jul-10,1128
74,10.23,-0.7,Charles SILMON,4-Jul-91,USA,2,"Croix-Bleue Medavie Stadium, Moncton (CAN)",21-Jul-10,1132
86,10.24,-0.2,Alonso EDWARD,8-Dec-89,PAN,1,Panama City (PAN),16-Apr-10,1126
86,10.24,-0.3,Shawn CRAWFORD,14-Jan-78,USA,5,Baie Mahault (FRA),1-May-10,1126
86,10.24,1.3,Evander WELLS,7-Dec-87,USA,4,"Knoxville, TN (USA)",16-May-10,1125
86,10.24,1.5,Otis MCDANIEL,30-Jun-86,USA,1f1,Nivelles (BEL),26-Jun-10,1125
86,10.24,0.6,Ramil GULIYEV,29-May-90,AZE,2,Luzern (SUI),8-Aug-10,1125
86,10.24,0.6,Rytis SAKALAUSKAS,27-Jun-87,LTU,2,"Boudewijnstadion, Bruxelles (BEL)",27-Aug-10,1125
