"species","full_name","sex","tail","tarsus","wing","nares_to_tip","gape","mass"
"jawe","Japanese white-eye","u",40,18.8,58,8.2,6.2,10
"jawe","Japanese white-eye","u",NA,17.2,NA,7.7,6.4,12
"jawe","Japanese white-eye","u",42,18.2,59,7.7,7.5,10
"wrsh","white-rumped shama","m",131,27.4,93,10.6,15.9,32
"rble","red-billed leiothrix","u",54,23.1,66.5,7.2,10.4,22.5
"jawe","Japanese white-eye","m",41,17.1,59,7.9,6.2,13
"jawe","Japanese white-eye","u",41,17.8,58,8,7.8,13
"rble","red-billed leiothrix","u",56,26,70,7.9,10.3,24
"rble","red-billed leiothrix","u",59,24.5,71,8.3,10.2,28
"rble","red-billed leiothrix","u",52,24.1,67,7.4,10.6,26.5
"rble","red-billed leiothrix","u",55,23.5,66,7.3,9.9,NA
"rble","red-billed leiothrix","u",52,23.2,68,7.4,9.3,20
"jawe","Japanese white-eye","u",43,18.4,59,7.9,7.8,11
"jawe","Japanese white-eye","u",NA,16.7,59,6.9,6.6,11
"jawe","Japanese white-eye","u",44,17.8,57,8.1,8.4,10
"jawe","Japanese white-eye","m",43,17.2,60,7.7,7.5,11
"rble","red-billed leiothrix","u",42,NA,59,7.6,7.7,11
"jawe","Japanese white-eye","u",41,18.2,58,7.6,8,11
"wrsh","white-rumped shama","f",117,25.5,87,11.4,12.3,30
"jawe","Japanese white-eye","u",41,18,60,7.6,8.1,11
"jawe","Japanese white-eye","u",41,17,58,7.5,8.1,14
"rwbu","red-whiskered bulbul","u",79,21.5,83,8.6,10.6,25
"rwbu","red-whiskered bulbul","u",71,21.1,77,8.2,11,27
"rwbu","red-whiskered bulbul","m",80,19.8,87,8.7,12.1,28
"rble","red-billed leiothrix","u",52,22.3,67,6.7,10.1,20
"rwbu","red-whiskered bulbul","u",78,18,73,8,10.2,24
"rwbu","red-whiskered bulbul","u",80,20.1,83,10.2,11,25
"rwbu","red-whiskered bulbul","u",74,NA,76,7.7,11.3,22
"rwbu","red-whiskered bulbul","u",78,19.3,79,9.1,11.3,27
"rble","red-billed leiothrix","u",57,23.3,70,6.7,9,23
"jawe","Japanese white-eye","u",41,17.3,59,7.4,8.9,12
"jawe","Japanese white-eye","u",40,16.5,56,7.6,8,9
"jawe","Japanese white-eye","u",41,17,57,7.9,8.2,11
"jawe","Japanese white-eye","u",43,16.8,58,7.6,7.9,11.5
"rble","red-billed leiothrix","u",53,23.4,65,6.9,9,25.5
"rble","red-billed leiothrix","u",56,23,68,7.2,9,25.5
"rble","red-billed leiothrix","u",53,24,66,7,8.6,20
"jawe","Japanese white-eye","u",43,17,60,7,7.7,12
"wrsh","white-rumped shama","m",140,25.7,92,10.6,12.5,30
"rwbu","red-whiskered bulbul","u",79,18.9,78,8.3,10.5,28
"rble","red-billed leiothrix","u",54,25,68,8.2,8.2,24
"rble","red-billed leiothrix","u",53,24.7,68,7.7,9.9,24
"rble","red-billed leiothrix","u",51,24.2,65,7.8,8.9,26
"jawe","Japanese white-eye","u",41,16.2,61,7.3,8.1,12
"jawe","Japanese white-eye","u",42,17,62,7,7.4,11
"jawe","Japanese white-eye","u",42,17.6,60,8.3,7.9,13
"jawe","Japanese white-eye","u",41,17.2,58,7.3,8.5,12.5
"jawe","Japanese white-eye","u",41,17.4,60,7.8,7.2,11
"jawe","Japanese white-eye","u",39,17.2,58,7.5,7.7,11
"rble","red-billed leiothrix","u",52,22.9,65,8.3,8,20
"rble","red-billed leiothrix","u",56,23.7,69,7.3,9,21
"rble","red-billed leiothrix","u",57,24.3,69,8,9.4,22
"rble","red-billed leiothrix","u",55,23.5,68,8,9.6,21
"rble","red-billed leiothrix","u",58,23.7,68,7.9,9,22
"rble","red-billed leiothrix","u",56,22.4,68,7.6,9,23
"jawe","Japanese white-eye","u",42,17.9,60,7.7,7.8,11
"rwbu","red-whiskered bulbul","u",72,18.1,78,8.9,9.1,20
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,24
"rwbu","red-whiskered bulbul","u",84,19.7,83,8.9,9.2,26
"rble","red-billed leiothrix","u",57,23.7,67,7.6,10,26
"jawe","Japanese white-eye","u",42,16.9,60,7.6,7.6,11
"jawe","Japanese white-eye","m",44,17.7,59,7.8,7.9,11
"jawe","Japanese white-eye","m",42,17.9,59,8.2,8.5,10
"rble","red-billed leiothrix","u",53,23.9,66,7.8,9.5,23
"rble","red-billed leiothrix","u",58,24.9,70,7.8,8.7,24.5
"rble","red-billed leiothrix","u",51,21.7,68,6.7,9.1,23
"rble","red-billed leiothrix","u",58,24,65,7.9,10,22
"rble","red-billed leiothrix","u",55,23.7,68,7.9,9,21
"rble","red-billed leiothrix","m",56,24.4,68,7.3,8.5,21
"jawe","Japanese white-eye","m",45,17,59,8,8.2,12
