"species","full_name","sex","tail","tarsus","wing","nares_to_tip","gape","mass"
"wrsh","white-rumped shama","m",134,25.8,93,11,12.6,26
"rble","red-billed leiothrix","u",55,24.9,68,8.5,10.2,22
"rble","red-billed leiothrix","u",58,23.3,67,7.4,9.4,20.5
"rble","red-billed leiothrix","u",60,25,70,8,10.9,22
"rble","red-billed leiothrix","u",55,23.5,66,7.9,10,21
"wrsh","white-rumped shama","f",54,24.5,84,10.6,12.4,26
"rble","red-billed leiothrix","u",54,22.8,66,7.1,9.7,20
"rble","red-billed leiothrix","u",51,23.5,66,6.8,9.8,19
"rwbu","red-whiskered bulbul","u",75,19.2,79,8.4,10.6,28
"rble","red-billed leiothrix","u",56,24.5,71,8.3,9.7,22
"rble","red-billed leiothrix","u",54,22.7,66,7.7,10.6,21
"rble","red-billed leiothrix","u",54,24.5,67,6.8,9.2,20
"rble","red-billed leiothrix","u",56,24.8,70,8.5,10,18
"rble","red-billed leiothrix","u",56,22.4,69,7.9,9,21
"rble","red-billed leiothrix","u",58,24.2,67,8.2,9.1,22
"rble","red-billed leiothrix","u",55,23.5,66,7.6,9.5,20
"rwbu","red-whiskered bulbul","u",85,19.5,83,9,11.3,23
"rwbu","red-whiskered bulbul","u",68,21.1,79,9.1,11.1,28
"rble","red-billed leiothrix","u",52,24.6,66,8.5,10.2,23
"rble","red-billed leiothrix","u",54,25.4,66,6.9,8.7,10
"rble","red-billed leiothrix","u",53,25.5,66,7.5,10.4,21
"rble","red-billed leiothrix","u",49,24.1,68,6.8,8.4,22
"rble","red-billed leiothrix","u",58,24.1,67,7.3,8.7,22
"rble","red-billed leiothrix","u",53,23,68,7.3,10.5,22
"rble","red-billed leiothrix","u",48,23.6,64,7,10.2,19
"jawe","Japanese white-eye","u",42,18.7,59,8.2,9.3,12
"jawe","Japanese white-eye","u",45,17.8,61,8.1,9.8,10
"jawe","Japanese white-eye","u",42,18,61,8.9,7.8,12
"jawe","Japanese white-eye","u",42,18.2,59,7.8,8.4,9
"jawe","Japanese white-eye","u",41,17.8,57,7.6,8,11
"jawe","Japanese white-eye","u",48,16.8,59,7.9,8.1,9
"jawe","Japanese white-eye","u",41,17,57,7.7,7.4,10
"jawe","Japanese white-eye","u",41,17.6,58,8,8.1,10
"jawe","Japanese white-eye","u",42,18.2,59,7.2,8.9,10
"jawe","Japanese white-eye","u",NA,NA,NA,NA,NA,10
"jawe","Japanese white-eye","u",41,16.6,58,7.5,7.4,11
"jawe","Japanese white-eye","u",44,NA,50,7.7,7.1,10
"wrsh","white-rumped shama","m",130,25.9,91,12.1,13,29.5
"wrsh","white-rumped shama","m",121,25.4,92,12.4,12.5,28
"wrsh","white-rumped shama","m",139,26.2,92,11,11.7,29
"wrsh","white-rumped shama","m",132,27.3,94,11.4,12.2,29
"rble","red-billed leiothrix","u",56,22.5,66,7.6,8.8,21
"wrsh","white-rumped shama","m",131,27.3,91,12.4,10.7,30
"rwbu","red-whiskered bulbul","u",71,21.8,79,9.1,11.3,28
"rwbu","red-whiskered bulbul","u",81,18.7,80,8.6,10.6,27
"jawe","Japanese white-eye","u",39,17.2,61,7.1,7.4,9
"jawe","Japanese white-eye","u",43,18.3,59,8.2,8.5,10.5
"jawe","Japanese white-eye","u",42,18,59,7.6,8.8,10
"jawe","Japanese white-eye","u",40,18,59,7.8,8.3,10.5
"rvbu","red-vented bulbul","u",89,23.4,98,10.1,11.4,44
"rvbu","red-vented bulbul","u",90,22.5,92,11.5,12.7,35
"rwbu","red-whiskered bulbul","u",NA,19.8,81,9.2,10.2,29
"rwbu","red-whiskered bulbul","u",83,20.1,79,8.8,11.3,27
"rble","red-billed leiothrix","u",54,24.3,66,8.2,10.5,21
"rble","red-billed leiothrix","u",53,23.5,65,7.1,10.1,20
"rble","red-billed leiothrix","u",57,24.8,69,6.7,8.1,23
"wrsh","white-rumped shama","m",87,26.8,91,10.8,11.3,31
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,22
"rble","red-billed leiothrix","u",56,24,68,8.7,10.2,21
"rble","red-billed leiothrix","u",52,21.6,68,7.6,8.1,11
"rble","red-billed leiothrix","u",54,23.1,67,7.6,9,21
"rble","red-billed leiothrix","u",55,23.6,66,7.4,10.9,21
"rble","red-billed leiothrix","u",55,25,68,8.3,11,21
"rble","red-billed leiothrix","u",53,24,67,7.3,8.9,20
"rble","red-billed leiothrix","u",60,22.9,69,7.8,10.3,22
"rwbu","red-whiskered bulbul","u",83,19.8,84,8.7,10.4,30
"wrsh","white-rumped shama","m",149,25.9,98,11.9,12.8,28
"rble","red-billed leiothrix","u",55,24,69,7.1,9.4,20
"rble","red-billed leiothrix","u",55,24.2,70,8,10.4,20
"rble","red-billed leiothrix","u",53,22.5,66,7.1,9.5,19
"rwbu","red-whiskered bulbul","u",76,20,79,9.2,11.8,23
"rble","red-billed leiothrix","u",56,24.8,70,8,10.8,21
"rble","red-billed leiothrix","u",50,NA,66,7.4,9,22
"jawe","Japanese white-eye","u",42,18.5,60,7.5,8.3,12
"jawe","Japanese white-eye","u",NA,NA,57,8,6.9,9
"wrsh","white-rumped shama","m",148,27.8,96,12.4,11.4,31
"wrsh","white-rumped shama","m",155,26.2,89,10.5,12.7,33
"rble","red-billed leiothrix","u",55,24,67,7.6,10.7,21
"rvbu","red-vented bulbul","u",90.5,25,99,11.6,13.6,38.5
"rble","red-billed leiothrix","u",55,23.1,69,7.3,8.7,21
"rble","red-billed leiothrix","u",56,24,66,7.4,10.1,22
"rble","red-billed leiothrix","u",50,22.5,64,7.2,9.5,20
"rble","red-billed leiothrix","u",56,24.5,68,8.1,8.3,22
"jawe","Japanese white-eye","u",40,18.8,61,8.4,9.7,10
"wrsh","white-rumped shama","f",121,23.2,88,9.8,12.8,27
"wrsh","white-rumped shama","m",133,26.1,93,11,12.4,39
"jawe","Japanese white-eye","u",42,17.4,59,8.1,9.9,11
"jawe","Japanese white-eye","u",43,17.9,58,7.8,9,10.5
"jawe","Japanese white-eye","u",40.5,18.5,57,8.2,7.9,9.5
"rble","red-billed leiothrix","u",50.5,23.5,67,7.5,9.7,20.5
"wrsh","white-rumped shama","m",141,26.8,94,12.1,11.7,32
"jawe","Japanese white-eye","u",43,16,58.5,7,8.6,10
"jawe","Japanese white-eye","u",42,18.5,59,9,8.4,10
"rble","red-billed leiothrix","u",52,24.8,59,7.5,8.9,22
"rble","red-billed leiothrix","u",56,24,65,7.4,8.5,22
"rble","red-billed leiothrix","m",57,24.4,68,8.4,10.1,22
"rble","red-billed leiothrix","u",53,22.2,67,7.3,10.3,20
"rble","red-billed leiothrix","u",56,22.4,69,7.1,8.3,21
"jawe","Japanese white-eye","u",41,18.4,58,8.1,9,11
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,22
"rble","red-billed leiothrix","u",56,23.6,66,7.6,8.7,21
"rble","red-billed leiothrix","u",55,24.1,68,7.6,10.3,22
"wrsh","white-rumped shama","m",137,25.8,89,11.4,12.9,30
"jawe","Japanese white-eye","u",40,17.6,59,7.5,7.9,11
"jawe","Japanese white-eye","u",35,18.8,60,7.5,7.5,11
"rble","red-billed leiothrix","u",57,23.4,78,7.3,8.5,19
"rble","red-billed leiothrix","u",52,21.9,66,7.2,9.9,22.5
"rble","red-billed leiothrix","u",59,23.4,71,7.2,10.1,22
"rble","red-billed leiothrix","u",56,23,70,8.4,9.9,19
"rwbu","red-whiskered bulbul","u",86,21.1,83,9.7,11.4,31
"rble","red-billed leiothrix","u",59,25.8,70,7.9,8.5,23
"rble","red-billed leiothrix","u",61,24.1,70,7.9,10.4,24
"rble","red-billed leiothrix","u",54,24.4,68,8.4,10.6,21
"jawe","Japanese white-eye","u",39,18,58,7.4,8.1,10
"jawe","Japanese white-eye","u",36,17,57,8.1,8,10
"jawe","Japanese white-eye","u",43,17.7,58,NA,8.4,9
"jawe","Japanese white-eye","u",44,17.4,59,7.6,8.8,11
"rwbu","red-whiskered bulbul","u",NA,NA,NA,NA,NA,33
"rwbu","red-whiskered bulbul","u",80,20,84,9.2,12,29
"rble","red-billed leiothrix","u",57,23.9,68,7.4,10.3,20
"rble","red-billed leiothrix","u",54,23.3,69,6.6,9.5,22
"rwbu","red-whiskered bulbul","u",82,21.4,84,10,11.8,NA
"rble","red-billed leiothrix","u",58,23.6,71,8.1,10.6,22
"rble","red-billed leiothrix","u",53,25.6,69,7.9,8.9,20
"rble","red-billed leiothrix","u",57,23.9,67,7.9,11.1,23
"rwbu","red-whiskered bulbul","u",81,21.5,78,8.6,9.4,29
"jawe","Japanese white-eye","u",41,18.3,59,8.2,8.2,10
"jawe","Japanese white-eye","u",45,18.3,61,7.3,7.7,11.5
"jawe","Japanese white-eye","u",39,17.7,58,8.1,7.7,11
"rble","red-billed leiothrix","u",52,24.2,69,8.1,9.6,20
"rwbu","red-whiskered bulbul","u",76,19.9,88,8.8,9.1,33
"rble","red-billed leiothrix","u",50,19.5,64,7.8,8.3,16
"rble","red-billed leiothrix","u",50,23.3,66,7.4,8.7,20
"rble","red-billed leiothrix","u",52,23.4,67,7.4,9.1,22.5
"wrsh","white-rumped shama","f",90,24.7,82,11.9,11.6,26
"rble","red-billed leiothrix","u",52,22.2,70,7.1,8.7,20.5
"rble","red-billed leiothrix","u",55,23.9,68,8.3,8.1,24.5
"wrsh","white-rumped shama","m",126,26.7,90,10.5,12,30
"wrsh","white-rumped shama","m",108,NA,85,10.8,11,29
"rble","red-billed leiothrix","u",51,23.6,68,7.8,8.4,21.5
"rwbu","red-whiskered bulbul","u",72,19.4,74,8.5,10,24
"rble","red-billed leiothrix","u",58,23.1,69,7,8.2,22
"rble","red-billed leiothrix","u",55,22.1,69,7.7,9,19.5
"rwbu","red-whiskered bulbul","u",72,20.2,77,8.5,9.5,24.5
"rble","red-billed leiothrix","u",51,25.1,69,7.2,8.8,19
"jawe","Japanese white-eye","u",40,17.1,55,7.6,6.5,9
"rble","red-billed leiothrix","u",54,23.4,76,7.4,8.8,20
"rble","red-billed leiothrix","u",59,24.5,71,7.5,10.6,21
"rwbu","red-whiskered bulbul","u",64,21.5,79,9.3,9.6,22
"rwbu","red-whiskered bulbul","u",80,19,82,9.4,11.1,25
"wrsh","white-rumped shama","m",149,24.2,93,11.5,10.9,30.5
"rble","red-billed leiothrix","u",56,23.2,66,7,9.7,20
"rble","red-billed leiothrix","u",59,23.6,67,7.3,8.8,22
"rble","red-billed leiothrix","u",55,22.7,70,7.5,8.9,22
"rble","red-billed leiothrix","u",54,24.1,67,7,9.2,22
"wrsh","white-rumped shama","m",135,25.2,91,11.3,11.4,28
"jawe","Japanese white-eye","u",44,17.5,58,7.4,8.3,10
"jawe","Japanese white-eye","u",44,18.2,60,8.1,7.7,13
"jawe","Japanese white-eye","u",32,18.5,59,7.5,7.9,7.5
"jawe","Japanese white-eye","u",40,17.4,58,8.2,8.8,10.5
"rwbu","red-whiskered bulbul","u",84,21.3,83.5,8.6,11.6,26.5
"rble","red-billed leiothrix","u",55,23.4,70,7.5,9.3,19
"rble","red-billed leiothrix","u",56,22.6,67,7.5,10.5,20
"rble","red-billed leiothrix","m",57,23.4,71,7.8,11.6,20.5
"rble","red-billed leiothrix","m",57,25.4,69,7.7,9.5,22
"rble","red-billed leiothrix","m",55,24.7,71,8.2,10.2,22
"jawe","Japanese white-eye","u",40,17.1,60,8.4,7.3,9
"rble","red-billed leiothrix","u",54,20.3,65,7.9,8.7,18.5
"wrsh","white-rumped shama","f",110,24.8,89,9.6,10.8,22
"wrsh","white-rumped shama","f",93,24.5,84,10.2,10.5,28
"rble","red-billed leiothrix","u",52,22.9,63,7,7.4,20
"rble","red-billed leiothrix","u",54,24.1,67,7.1,9,20.5
"rwbu","red-whiskered bulbul","u",73,18.4,74,8.4,10.6,21.5
"rwbu","red-whiskered bulbul","u",76,20.3,85,9.6,12.2,20
"rwbu","red-whiskered bulbul","u",78,20.4,81,8.7,11.4,26
"rble","red-billed leiothrix","u",57,24.2,65,7.5,8.7,19.5
"jawe","Japanese white-eye","u",40,17.9,57,7.1,7.7,10
"jawe","Japanese white-eye","u",38,17.2,57,6.5,7.3,10
"jawe","Japanese white-eye","u",40,17.2,58,7.5,7.1,10
"rble","red-billed leiothrix","u",54.5,23.1,66,7.9,10.1,20
"rble","red-billed leiothrix","u",54,24.2,64,7.5,10.1,19.5
"rble","red-billed leiothrix","u",57,23.5,69,7.3,9.5,21
"rble","red-billed leiothrix","u",59,23.8,70,7.9,8,20
"rble","red-billed leiothrix","u",54,22.3,63,7,8.5,19
"wrsh","white-rumped shama","m",148,25.6,93,10.8,12,31.5
"jawe","Japanese white-eye","u",45,17.9,59,7.6,8.3,10
"rble","red-billed leiothrix","u",57,23.2,66,7.6,9.9,19.5
"rble","red-billed leiothrix","u",57,25,69,8.2,8.4,21
"rble","red-billed leiothrix","u",55,24,68,7.5,8.8,21.5
"jawe","Japanese white-eye","u",41,17.2,58,7.6,6.6,10
"wrsh","white-rumped shama","m",139,25.9,92,11.3,12.8,32
"wrsh","white-rumped shama","f",111,25.5,85,11.6,13.6,28
"rble","red-billed leiothrix","u",55,20.4,68,8.3,10.4,20
"rble","red-billed leiothrix","u",58,24.4,69,8,10.6,22
"jawe","Japanese white-eye","m",42.5,17.3,59,8.3,7.3,10.4
"wrsh","white-rumped shama","f",104,23.8,87,11.1,13.9,28
"rble","red-billed leiothrix","u",56,24.2,68,8.1,8.9,22
"jawe","Japanese white-eye","f",NA,NA,NA,NA,NA,11
"wrsh","white-rumped shama","m",133,26.4,94,12.5,15.5,32
"wrsh","white-rumped shama","f",106,24.8,87,9.2,10,25
"rble","red-billed leiothrix","u",52,24.1,67,8.4,10.5,22
"rble","red-billed leiothrix","u",50,23.6,64,7.6,9,21
"rble","red-billed leiothrix","u",53,23.4,64,8.2,9,18
"rble","red-billed leiothrix","u",56,24.5,68,8,9.7,21
"jawe","Japanese white-eye","u",41,18.4,59,7.3,9,13
"wrsh","white-rumped shama","m",149,26.1,96,12,13.2,34
"rwbu","red-whiskered bulbul","u",76,20.6,79,9.4,10.2,26
"rble","red-billed leiothrix","u",53,22.7,64,7.5,8.3,20
"wrsh","white-rumped shama","m",139,25.4,94,10.8,11.5,32
"rble","red-billed leiothrix","u",56,24.4,67,7.7,9.2,21
"jawe","Japanese white-eye","m",42,18.1,60,7.1,7.9,10
"jawe","Japanese white-eye","u",41,17.7,56,7.3,7.2,11
"jawe","Japanese white-eye","u",41,18.2,61,7.2,6.7,14
"jawe","Japanese white-eye","u",40,18.1,59,7.8,7.3,11
"rble","red-billed leiothrix","u",55,23.2,66,7,9.6,22.5
"jawe","Japanese white-eye","m",42,17.2,59,7.9,6.8,12
"wrsh","white-rumped shama","m",132,26.5,93,12,10.1,32
"jawe","Japanese white-eye","m",43,16.5,60,7.8,7.2,9.5
"wrsh","white-rumped shama","m",136,25.3,96,11,11.3,30
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,21.5
"rble","red-billed leiothrix","u",56,24.9,67,7.4,9,20
"jawe","Japanese white-eye","u",42,18,59,8,8.6,11
"rble","red-billed leiothrix","u",55,24.2,64,7,8.2,22
"rble","red-billed leiothrix","u",57,23.4,69,8.6,9.8,21
"wrsh","white-rumped shama","u",114,25.4,87,10.7,13.2,29
"rble","red-billed leiothrix","u",50,23.4,66,7.6,9.7,23
"rble","red-billed leiothrix","u",48,23.5,68,7.7,8.2,21
"rble","red-billed leiothrix","u",54,24.5,68,6.8,8.2,20
"jawe","Japanese white-eye","u",42,15.6,59,7.3,7.6,11
"jawe","Japanese white-eye","m",42,17.6,60,7.6,7.3,10.5
"rwbu","red-whiskered bulbul","u",81,20.2,85,8.8,10.3,27
"rble","red-billed leiothrix","u",54,24.1,66,7.3,9.9,18
"rble","red-billed leiothrix","u",53,23.1,67,7.5,10.6,19
"jawe","Japanese white-eye","m",41,17.9,61,7.8,7.9,11
"jawe","Japanese white-eye","m",42,18.1,59,8.4,8,10
"jawe","Japanese white-eye","u",41,17.9,57,8.3,8.8,11
"wrsh","white-rumped shama","f",109,25.6,81,11.1,13.2,26
"rble","red-billed leiothrix","u",51,24.3,66,7.1,10.3,22
"rble","red-billed leiothrix","u",52,23.1,66,7,9.6,21
"rble","red-billed leiothrix","u",56,24.3,68,8.8,9.9,22
"rble","red-billed leiothrix","m",53,22.2,65.5,7.8,9.7,20
"rble","red-billed leiothrix","u",54,23.6,66,7.3,10.1,20
"rble","red-billed leiothrix","u",57.5,25.3,69.5,NA,NA,22
"rble","red-billed leiothrix","u",53.5,NA,66,NA,NA,19.5
"jawe","Japanese white-eye","m",43,17.7,58,7.4,7.9,9.5
"jawe","Japanese white-eye","m",46,17.8,58,8.2,8.5,9.5
"wrsh","white-rumped shama","m",138,26.1,92,10.9,12.4,33
"rble","red-billed leiothrix","u",56,20.3,67,7.6,10.1,17
"rble","red-billed leiothrix","u",55,23.8,68,7.7,9,18
"rble","red-billed leiothrix","u",57,23.2,68,7.7,9,14
"rble","red-billed leiothrix","u",60,21.4,71,7.9,8.7,17.5
"rble","red-billed leiothrix","u",56,24.5,68,7.4,9.7,18
"rble","red-billed leiothrix","u",58,24.2,69,8.2,8.9,18
"rble","red-billed leiothrix","u",52,23.2,64,7.4,9,17
"wrsh","white-rumped shama","m",135,25.4,91,10.8,11.4,31
"wrsh","white-rumped shama","f",102,25.4,84,10.3,11.5,26
"jawe","Japanese white-eye","u",40,17.7,59,8,7.1,8
"jawe","Japanese white-eye","u",41,17,60,7.6,7.6,10
"wrsh","white-rumped shama","m",149,25.2,95,10.9,11.4,32
"jawe","Japanese white-eye","u",40,17.7,58,7.4,8.2,11
"jawe","Japanese white-eye","u",42,17.5,59,7.9,7.6,12
"wrsh","white-rumped shama","m",150,26.2,90,11.3,11,35
"wrsh","white-rumped shama","m",137,24.2,90,11,12.5,25
"jawe","Japanese white-eye","u",41,18,61,6.7,7.6,11
"rble","red-billed leiothrix","m",54,24,68,8.3,10,22
"jawe","Japanese white-eye","m",40.5,16.5,57.5,7.9,8,10.5
"rble","red-billed leiothrix","u",55,24.2,71,8.1,9.9,20
"rble","red-billed leiothrix","u",55,23.5,68,7.9,9.4,21
"jawe","Japanese white-eye","u",NA,NA,NA,NA,NA,11
"jawe","Japanese white-eye","u",39.5,17.7,57,7.9,8.4,10.5
"jawe","Japanese white-eye","u",43,16.4,60,7.5,8.7,10
"rwbu","red-whiskered bulbul","u",79,18.5,79,9,10.8,23
"rble","red-billed leiothrix","u",56,23.4,68,8,9.2,22
"rble","red-billed leiothrix","u",56,22.5,66,6.5,9.7,18.5
"rble","red-billed leiothrix","u",55,23.2,66,8,8.8,20
"rble","red-billed leiothrix","u",57,22.8,69,7.5,8.1,19
"rble","red-billed leiothrix","u",56,24.4,70,8,9.8,23
"rble","red-billed leiothrix","u",56,22.5,66,6.5,9.3,21
"rble","red-billed leiothrix","u",57,23.2,67,7.9,9.3,21
"rble","red-billed leiothrix","u",57,22.6,66,7.9,9.8,19
"rwbu","red-whiskered bulbul","u",77,17.7,77,8.6,11.5,24
"rble","red-billed leiothrix","u",53,23.2,66,7.1,9,21
"rble","red-billed leiothrix","u",58,24.3,73,8.3,9.6,24
"rwbu","red-whiskered bulbul","u",81,19.2,83,8.6,10.1,28
"jawe","Japanese white-eye","u",53,17.2,57,8.2,6.9,10
"jawe","Japanese white-eye","u",40,17.6,56,7.2,7.5,10
"jawe","Japanese white-eye","u",40,17.1,56,7.7,8,11
"jawe","Japanese white-eye","u",40,17.1,57,8.1,8.7,11
"jawe","Japanese white-eye","u",41,18,59,7.8,8.5,10
"jawe","Japanese white-eye","u",44,17.3,60,8.1,7.1,12
"jawe","Japanese white-eye","u",40,17.5,59,8.1,6.2,10
"rwbu","red-whiskered bulbul","u",75,20.8,78,10.5,10.1,25
"rvbu","red-vented bulbul","u",97,23.3,98,9.9,13.9,37
"rble","red-billed leiothrix","u",60,23.4,71,8.1,9,21
"rble","red-billed leiothrix","u",56,23.6,68,7.8,10.3,20
"rble","red-billed leiothrix","u",55,24.5,66,8.3,8.5,21
"rble","red-billed leiothrix","u",62,23.6,NA,7.1,8.4,21
"rble","red-billed leiothrix","u",55,23.4,69,9.3,9.9,23
"rble","red-billed leiothrix","u",53,23.3,64,8.3,8.5,20
"rble","red-billed leiothrix","u",52,23.2,66,8.2,9,19
"rble","red-billed leiothrix","u",55,23.2,66,7.7,9.2,20
"jawe","Japanese white-eye","u",39,17.9,56,7.6,8.1,13
"jawe","Japanese white-eye","u",41,17.5,59,7.7,8.6,10
"jawe","Japanese white-eye","u",40,16.4,56,7.5,7,10
"jawe","Japanese white-eye","u",41,17.8,59,8.7,7.1,11
"jawe","Japanese white-eye","u",39,18.4,58,7.8,7.5,11
"jawe","Japanese white-eye","u",41,16.3,57,7.2,7.1,10
"jawe","Japanese white-eye","u",34,17.1,62,8.2,7.1,11
"jawe","Japanese white-eye","u",41,17.5,58,7.8,8.5,13
"jawe","Japanese white-eye","u",45,17.3,60,7.9,7.9,9
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,20
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,22
"jawe","Japanese white-eye","u",41,18.4,54,7.3,8.2,NA
"jawe","Japanese white-eye","m",43,17,60,7.5,8,8
"rwbu","red-whiskered bulbul","f",NA,NA,NA,NA,NA,27
"rwbu","red-whiskered bulbul","u",78.5,18.3,79,8.3,10.5,23
"rble","red-billed leiothrix","u",53.5,24.2,63.5,7.8,10,18.5
"wrsh","white-rumped shama","f",103,25.3,84,10.9,13.4,28
"rble","red-billed leiothrix","u",55,24.9,67,7.2,9.7,21.5
"rwbu","red-whiskered bulbul","u",76,21.7,82,8.1,10.4,25.5
"jawe","Japanese white-eye","m",42,17.7,59,7.4,6.3,11
"jawe","Japanese white-eye","u",41,17.6,60,7.7,7,9.5
"jawe","Japanese white-eye","m",42,17.1,60,7.8,6.8,10.5
"jawe","Japanese white-eye","m",42,17.6,61,8,7.4,10
"jawe","Japanese white-eye","u",42,16.4,57,7.8,8.1,13
"wrsh","white-rumped shama","m",138,25.9,94,11.1,12.2,34.5
"rble","red-billed leiothrix","u",55,23.9,67,7.9,9.7,22
"jawe","Japanese white-eye","u",41.5,17.8,60,8.4,7.4,11
"wrsh","white-rumped shama","m",143,26.3,93,11.3,12.9,33
"wrsh","white-rumped shama","f",119,25.9,86,10.7,12.1,26
"rble","red-billed leiothrix","u",52,25.4,66,NA,10.4,22
"jawe","Japanese white-eye","u",39,17.1,57,8,8.3,11
"jawe","Japanese white-eye","m",40.5,17.7,60,7.8,7.8,12
"jawe","Japanese white-eye","u",40,17.6,58.5,8.4,8.7,11
"jawe","Japanese white-eye","u",40,17.4,58,8.2,8.3,12
"rwbu","red-whiskered bulbul","u",75,20.6,79,9.6,12.3,28
"jawe","Japanese white-eye","u",41,18.4,58,7.1,7.9,10
"jawe","Japanese white-eye","u",41,17.2,58,7.7,7.9,8
"jawe","Japanese white-eye","u",41,18.1,59,8.1,8.1,10
"jawe","Japanese white-eye","u",44,17.4,61,9,6.8,10.5
"rble","red-billed leiothrix","u",59,23.6,74,8.8,10.1,20
"rble","red-billed leiothrix","u",56,24.1,69,8.1,10.2,22.5
"rble","red-billed leiothrix","u",56.5,24.4,68,7.5,9.3,20
"wrsh","white-rumped shama","m",140,27.3,92,12.2,13.6,29
"rble","red-billed leiothrix","u",54,25.1,69,8.9,8.9,20
"wrsh","white-rumped shama","f",91,25,84,10.6,14.1,27
"rble","red-billed leiothrix","u",51.5,21.1,66,8.2,9.9,17
"wrsh","white-rumped shama","m",141,27.4,90,12.2,12.4,31.5
"wrsh","white-rumped shama","m",141,24.6,92,11.1,8.7,30
"wrsh","white-rumped shama","m",149,25.9,89,13.5,12.3,32
"jawe","Japanese white-eye","u",43,17.1,61,7.4,7.6,9
"jawe","Japanese white-eye","m",41,18.3,57,8.1,7.9,10
"jawe","Japanese white-eye","u",41,16.6,54,7.9,7.8,10
"jawe","Japanese white-eye","u",40,17.6,59,7.7,NA,9
"jawe","Japanese white-eye","m",40,17.7,56,7.7,8.5,11
"rble","red-billed leiothrix","u",54,23.8,68,8.3,8.4,21
"rble","red-billed leiothrix","u",54,24.2,65,7.9,10.1,17
"rble","red-billed leiothrix","u",59,24.3,72,8.1,9,20
"rble","red-billed leiothrix","u",58,22.9,70,7.8,10,21
"rble","red-billed leiothrix","u",53,22.2,70,6.9,10.1,18.5
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,21.5
"rble","red-billed leiothrix","u",55,23.6,68,7.9,8.8,19
"rble","red-billed leiothrix","u",60,23.4,63,7.3,10.1,20
"rble","red-billed leiothrix","u",56,24.3,73,8.2,9.9,19
"rble","red-billed leiothrix","u",58,21.8,68,8.3,10,21.5
"rble","red-billed leiothrix","u",58,23.9,64,8.1,9.2,18.5
"rble","red-billed leiothrix","m",66,24.2,59,8.3,8.7,18.5
"rble","red-billed leiothrix","u",55,23.8,69,7.6,10,20
"rble","red-billed leiothrix","u",58,20.5,73,7.9,9.7,18
"rble","red-billed leiothrix","u",57,22.5,62,NA,NA,19.5
"rble","red-billed leiothrix","m",58,24.7,69,NA,NA,20.5
"rble","red-billed leiothrix","u",55,22.1,66,NA,NA,17
"jawe","Japanese white-eye","m",41,16.4,59,7.1,7,9
"jawe","Japanese white-eye","u",42,16.5,57,7.7,7.1,10
"rwbu","red-whiskered bulbul","u",NA,20.1,NA,9.5,11,28
"rble","red-billed leiothrix","u",NA,23.8,NA,9.1,8.3,20
"rble","red-billed leiothrix","u",NA,23.6,NA,8.2,8.4,16
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,21
"wrsh","white-rumped shama","m",144,24.6,93,9.8,12,31
"rble","red-billed leiothrix","u",53,24.1,65,8,10.4,23
"rwbu","red-whiskered bulbul","f",74,20.1,79,NA,NA,25
"jawe","Japanese white-eye","m",42,17.6,59,8.6,7.8,11
"rble","red-billed leiothrix","u",52,23.6,69,8.2,10.4,18.5
"rble","red-billed leiothrix","u",55,23.9,68,8.3,10.4,18.5
"jawe","Japanese white-eye","u",41,18.4,60,7.8,7.7,11.5
"jawe","Japanese white-eye","u",42,18.1,51,8.2,7.9,12
"jawe","Japanese white-eye","u",43,16.8,50.5,6.9,8.9,11
"wrsh","white-rumped shama","m",142,26.5,93,12.1,13.9,33
"rwbu","red-whiskered bulbul","m",81,21.3,81,9.6,13.1,26.5
"rble","red-billed leiothrix","u",52,24,66,8.3,10,18
"rble","red-billed leiothrix","u",53,23.5,66.5,7.6,9.8,21.5
"rble","red-billed leiothrix","u",49,23.4,64,7.3,8.9,20
"rble","red-billed leiothrix","u",61,24.1,67,7.9,10.2,21
"wrsh","white-rumped shama","u",110,23.7,83,NA,NA,26
"rble","red-billed leiothrix","u",51,23.9,60,7,9.6,20
"wrsh","white-rumped shama","f",109,25.2,84,10.7,11.6,32.5
"rble","red-billed leiothrix","u",54,24.2,65,7.6,8.3,19
"rble","red-billed leiothrix","u",62,23.1,69,7.9,9.4,19
"jawe","Japanese white-eye","u",41,18,49,7.2,6.7,12
"jawe","Japanese white-eye","u",41,17.9,59,7.4,7,12
"rvbu","red-vented bulbul","u",94,23.6,101,11.5,13.4,39
"rble","red-billed leiothrix","m",58,25.2,70,8.4,9.7,21
"rble","red-billed leiothrix","u",54,23.2,67,8.1,9,20.5
"rble","red-billed leiothrix","m",55,23.4,68,8.2,10.3,22
"rwbu","red-whiskered bulbul","u",78,21,79,9.9,10.1,25.5
"rble","red-billed leiothrix","u",52,24.2,65,8.1,10.5,20.5
"jawe","Japanese white-eye","u",41,17.9,59,8.3,8.2,8.5
"jawe","Japanese white-eye","m",40,16.7,59,7.9,7.8,11
"rwbu","red-whiskered bulbul","f",NA,NA,NA,NA,NA,34
