genus_species,family,group,growth_form,leafsize_cm2,latitude,longitude,elevation_m,MAT,MAP,PPTgs,RADann
Fraxinus americana,Oleaceae,angio,Tree,41.15,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Hamamelis virginiana,Hamamelidaceae,angio,Shrub,44.16,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Ilex verticillata,Aquifoliaceae,angio,Shrub,10.32,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Kalmia latifolia,Ericaceae,angio,Tree,11.87,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Lyonia ligustrina,Ericaceae,angio,Shrub,15.26,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Nemopanthus mucronatus,Aquifoliaceae,angio,Shrub,5.27,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Nyssa sylvatica,Nyssaceae,angio,Tree,20.5,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Populus grandidentata,Salicaceae,angio,Tree,43.29,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Populus tremuloides,Salicaceae,angio,Tree,30.7,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Prunus serotina,Rosaceae,angio,Tree,22.99,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Quercus alba,Fagaceae,angio,Tree,109.91,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Quercus rubra,Fagaceae,angio,Tree,79.47,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Rhododendron prinophyllum,Ericaceae,angio,Shrub,7.58,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Vaccinium corymbosum,Ericaceae,angio,Shrub,17.32,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Viburnum recognitum,Adoxaceae,angio,Shrub,42.35,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Acer pensylvanicum,Sapindaceae,angio,Tree,169.63,42.510,-74.138,505,7.60,880.00,766.00,173.20
Acer rubrum,Sapindaceae,angio,Tree,43.36,42.510,-74.138,505,7.60,880.00,766.00,173.20
Acer saccharum,Sapindaceae,angio,Tree,34.63,42.510,-74.138,505,7.60,880.00,766.00,173.20
Betula alleghaniensis,Betulaceae,angio,Tree,16.53,42.510,-74.138,505,7.60,880.00,766.00,173.20
Betula papyrifera,Betulaceae,angio,Tree,5.66,42.510,-74.138,505,7.60,880.00,766.00,173.20
Betula populifolia,Betulaceae,angio,Tree,8.87,42.510,-74.138,505,7.60,880.00,766.00,173.20
Carpinus caroliniana,Betulaceae,angio,Tree,25.38,42.510,-74.138,505,7.60,880.00,766.00,173.20
Carya ovata,Juglandaceae,angio,Tree,60.87,42.510,-74.138,505,7.60,880.00,766.00,173.20
Fagus grandifolia,Fagaceae,angio,Tree,27.95,42.510,-74.138,505,7.60,880.00,766.00,173.20
Fraxinus americana,Oleaceae,angio,Tree,18.31,42.510,-74.138,505,7.60,880.00,766.00,173.20
Fraxinus pennsylvanica,Oleaceae,angio,Tree,44.87,42.510,-74.138,505,7.60,880.00,766.00,173.20
Hamamelis virginiana,Hamamelidaceae,angio,Shrub,37.88,42.510,-74.138,505,7.60,880.00,766.00,173.20
Ostrya virginiana,Betulaceae,angio,Tree,23.28,42.510,-74.138,505,7.60,880.00,766.00,173.20
Populus tremuloides,Salicaceae,angio,Tree,13.48,42.510,-74.138,505,7.60,880.00,766.00,173.20
Prunus serotina,Rosaceae,angio,Tree,18.52,42.510,-74.138,505,7.60,880.00,766.00,173.20
Quercus rubra,Fagaceae,angio,Tree,28.82,42.510,-74.138,505,7.60,880.00,766.00,173.20
Salix discolor,Salicaceae,angio,Tree,15.26,42.510,-74.138,505,7.60,880.00,766.00,173.20
Sambucus pubens,Adoxaceae,angio,Shrub,23.1,42.510,-74.138,505,7.60,880.00,766.00,173.20
Tilia americana,Malvaceae,angio,Tree,130.01,42.510,-74.138,505,7.60,880.00,766.00,173.20
Ulmus americana,Ulmaceae,angio,Tree,43.11,42.510,-74.138,505,7.60,880.00,766.00,173.20
Vaccinium sp289,Ericaceae,angio,Shrub,4.85,42.510,-74.138,505,7.60,880.00,766.00,173.20
