Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
68,11.21,1.6,Janet AMPONSAH,12-Apr-93,GHA,4f1,"Montverde, FL (USA)",9-Jun-18,1154
68,11.21,1.1,Irene SIRAGUSA,23-Jun-93,ITA,1,Orvieto (ITA),17-Jun-18,1154
68,11.21,1.8,Gabrielle CUNNINGHAM,22-Feb-98,USA,4h2,"Drake Stadium, Des Moines, IA (USA)",21-Jun-18,1154
68,11.21,1.4,Zakiya DENOON,23-Jan-95,TTO,1h1,Port-of-Spain (TTO),23-Jun-18,1154
68,11.21,1.2,Ajla DEL PONTE,15-Jul-96,SUI,2h1,La Chaux-de-Fonds (SUI),1-Jul-18,1154
79,11.22,1,Gayon EVANS,15-Jan-90,JAM,3,Gold Coast (AUS),9-Apr-18,1152
79,11.22,0.6,Devynne CHARLTON,26-Nov-95,BAH,1,"Bloomington, IN (USA)",13-May-18,1152
79,11.22,1.9,Rebakah SMITH,1-May-98,USA,4qf3,"Tampa, FL (USA)",25-May-18,1152
79,11.22,0.5,Jura LEVY,4-Nov-90,JAM,3h2,Kingston (JAM),22-Jun-18,1152
83,11.23,0.7,Kelly-Ann BAPTISTE,14-Oct-86,TTO,3f1,"Clermont, FL (USA)",28-Apr-18,1150
83,11.23,1.5,Jasmin REED,20-Feb-99,USA,2qf3,"Sacramento, CA (USA)",25-May-18,1150
83,11.23,0.7,Khalifa ST. FORT,13-Feb-98,TTO,2f2,Port-of-Spain (TTO),23-Jun-18,1150
83,11.23,0,Rosângela SANTOS,20-Dec-90,BRA,3,"CNDA, Bragança Paulista (BRA)",8-Jul-18,1150
83,11.23,-0.1,Ewa SWOBODA,26-Jul-97,POL,1,"Stadion Śląski, Chorzów (POL)",22-Aug-18,1150
88,11.24,0.2,Naomi SEDNEY,17-Dec-94,NED,3f1,"Gainesville, FL (USA)",13-Apr-18,1148
88,11.24,1,Charminique HACKNEY,20-Jan-98,USA,1,"Prairie View, TX (USA)",6-May-18,1148
88,11.24,1.6,Ezinne OKPARAEBO,3-Mar-88,NOR,7,"Bislett Stadion, Oslo (NOR)",7-Jun-18,1148
88,11.24,1.2,Andrea PURICA,21-Nov-95,VEN,1h2,Barranquilla (COL),29-Jul-18,1148
92,11.25,0.3,Makenzie DUNMORE,17-Oct-97,USA,2f1,"Tucson, AZ (USA)",28-Apr-18,1146
92,11.25,-0.3,Kerron STEWART,16-Apr-84,JAM,2,"National Stadium, Kingston (JAM)",19-May-18,1147
92,11.25,0.4,Maia MCCOY,9-Dec-96,USA,6qf2,"Tampa, FL (USA)",25-May-18,1146
92,11.25,1.5,Anglerne ANNELUS,10-Jan-97,USA,3qf3,"Sacramento, CA (USA)",25-May-18,1146
92,11.25,1.1,Salomé KORA,8-Jun-94,SUI,3,Zofingen (SUI),13-Jul-18,1146
97,11.26,-0.3,Natasha MORRISON,17-Nov-92,JAM,3,"National Stadium, Kingston (JAM)",19-May-18,1145
97,11.26,1.9,Shauna HELPS,23-Oct-96,JAM,5qf3,"Tampa, FL (USA)",25-May-18,1144
97,11.26,1.1,Laura MÜLLER,11-Dec-95,GER,1h2,Weinheim (GER),6-Jul-18,1144
100,11.27,1.7,Tebogo MAMATHU,27-May-95,RSA,2,Pretoria (RSA),16-Mar-18,1142
1,10.71,0.8,Elaine THOMPSON,28-Jun-92,JAM,1,Kingston (JAM),23-Jun-17,1264
2,10.82,0.9,Michelle-Lee AHYE,10-Apr-92,TTO,1f2,Port-of-Spain (TTO),24-Jun-17,1239
3,10.83,1.1,Murielle AHOURÉ,23-Aug-87,CIV,1f1,"Montverde, FL (USA)",10-Jun-17,1237
4,10.84,1.1,Veronica CAMPBELL-BROWN,15-May-82,JAM,2f1,"Montverde, FL (USA)",10-Jun-17,1235
5,10.85,2,Aleia HOBBS,24-Feb-96,USA,1f1,"Baton Rouge, LA (USA)",29-Apr-17,1233
5,10.85,0.1,Tori BOWIE,27-Aug-90,USA,1,"Olympic Stadium, London (GBR)",6-Aug-17,1233
7,10.86,0.1,Marie-Josée TA LOU,18-Nov-88,CIV,2,"Olympic Stadium, London (GBR)",6-Aug-17,1231
8,10.88,0.9,Kelly-Ann BAPTISTE,14-Oct-86,TTO,2f2,Port-of-Spain (TTO),24-Jun-17,1226
9,10.91,-0.2,Rosângela SANTOS,20-Dec-90,BRA,2sf2,"Olympic Stadium, London (GBR)",6-Aug-17,1221
10,10.94,-0.1,Schillonie CALVERT-POWELL,27-Jul-88,JAM,1h1,"Mesa, AZ (USA)",10-Jun-17,1213
11,10.95,0.8,Dafne SCHIPPERS,15-Jun-92,NED,1f1,"Azusa, CA (USA)",14-Apr-17,1211
11,10.95,1.3,Gina LÜCKENKEMPER,21-Nov-96,GER,1h1,"Olympic Stadium, London (GBR)",5-Aug-17,1211
13,10.96,0.3,Mikiah BRISCO,14-Jul-96,USA,1,"Eugene, OR (USA)",10-Jun-17,1209
14,10.98,0.7,Morolake AKINOSUN,17-May-94,USA,1h4,"Sacramento, CA (USA)",22-Jun-17,1204
15,10.99,1.4,Barbara PIERRE,28-Apr-87,USA,1h1,"Sacramento, CA (USA)",22-Jun-17,1202
15,10.99,-1.4,Blessing OKAGBARE-IGHOTEGUONOR,9-Oct-88,NGR,3,"Olympic Stadium, London (GBR)",9-Jul-17,1210
17,11,0.7,Deajah STEVENS,19-May-95,USA,1f1,"Torrance, CA (USA)",15-Apr-17,1200
18,11.01,1.8,Ashley HENDERSON,4-Dec-95,USA,1sf1,"Austin, TX (USA)",26-May-17,1198
18,11.01,1.6,Aaliyah BROWN,6-Jan-95,USA,2h2,"Sacramento, CA (USA)",22-Jun-17,1198
20,11.03,1.4,Kimberlyn DUNCAN,2-Aug-91,USA,2h1,"Sacramento, CA (USA)",22-Jun-17,1193
20,11.03,0.7,Allyson FELIX,18-Nov-85,USA,2h4,"Sacramento, CA (USA)",22-Jun-17,1193
20,11.03,0.7,Christania WILLIAMS,17-Oct-94,JAM,2sf2,Kingston (JAM),23-Jun-17,1193
23,11.04,-0.2,English GARDNER,22-Apr-92,USA,2h3,"Sacramento, CA (USA)",22-Jun-17,1192
23,11.04,0.8,Simone FACEY,7-May-85,JAM,2,Kingston (JAM),23-Jun-17,1191
23,11.04,0.8,Tianna BARTOLETTA,30-Aug-85,USA,1f1,"Olympiastadion, Berlin (GER)",27-Aug-17,1191
26,11.05,2,Destiny CARTER,9-Oct-92,USA,2f1,"Baton Rouge, LA (USA)",29-Apr-17,1189
26,11.05,1.4,Jenna PRANDINI,20-Nov-92,USA,3h1,"Sacramento, CA (USA)",22-Jun-17,1189
28,11.06,0.7,Arianna WASHINGTON,4-Sep-96,USA,2f1,"Torrance, CA (USA)",15-Apr-17,1187
28,11.06,1.8,Rebekka HAASE,2-Jan-93,GER,2h,Zeulenroda (GER),25-May-17,1187
28,11.06,0.3,Teahna DANIELS,25-Mar-97,USA,3,"Eugene, OR (USA)",10-Jun-17,1187
28,11.06,0.8,Jura LEVY,4-Nov-90,JAM,3,Kingston (JAM),23-Jun-17,1187
28,11.06,0.9,Khalifa ST. FORT,13-Feb-98,TTO,3f2,Port-of-Spain (TTO),24-Jun-17,1187
33,11.07,0,Mujinga KAMBUNDJI,17-Jun-92,SUI,1f1,Bellinzona (SUI),18-Jul-17,1185
34,11.09,0.6,Desiree HENRY,26-Aug-95,GBR,1f2,"Azusa, CA (USA)",14-Apr-17,1180
34,11.09,0.7,Kortnei JOHNSON,11-Aug-97,USA,3f1,"Torrance, CA (USA)",15-Apr-17,1180
34,11.09,0.8,Natasha MORRISON,17-Nov-92,JAM,4,Kingston (JAM),23-Jun-17,1180
34,11.09,0.7,Remona BURCHELL,15-Sep-91,JAM,3sf2,Kingston (JAM),23-Jun-17,1180
38,11.1,0.3,Carina HORN,9-Mar-89,RSA,1sf1,Potchefstroom (RSA),21-Apr-17,1178
38,11.1,0.8,Shashalee FORBES,10-May-96,JAM,5,Kingston (JAM),23-Jun-17,1178
40,11.11,1.4,Hannah CUNLIFFE,9-Jan-96,USA,3,"Eugene, OR (USA)",14-May-17,1176
40,11.11,1.9,Semoy HACKETT,27-Nov-88,TTO,1,"Miami, FL (USA)",8-Jul-17,1176
42,11.12,1.9,Kerron STEWART,16-Apr-84,JAM,1h4,"Auburn, AL (USA)",22-Apr-17,1174
43,11.13,0.4,Jonielle SMITH,30-Jan-96,JAM,1h3,"Columbia, SC (USA)",12-May-17,1172
43,11.13,0.1,Carolle ZAHI,12-Jun-94,FRA,1,Marseille (FRA),15-Jul-17,1172
43,11.13,0.8,Dina ASHER-SMITH,4-Dec-95,GBR,2h1,"Alexander Stadium, Birmingham (GBR)",20-Aug-17,1172
46,11.14,-0.4,Daryll NEITA,29-Aug-96,GBR,4h2,"Olympic Stadium, London (GBR)",9-Jul-17,1171
