Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
8,11.01,2,English GARDNER,22-Apr-92,USA,2sf1,"Sacramento, CA (USA)",27-Jun-14,1198
8,11.01,0.8,Allyson FELIX,18-Nov-85,USA,5,"Stade Louis II, Monaco (MON)",18-Jul-14,1198
8,11.01,0.8,Shelly-Ann FRASER-PRYCE,27-Dec-86,JAM,6,"Stade Louis II, Monaco (MON)",18-Jul-14,1198
11,11.02,2,Joanna ATKINS,31-Jan-89,USA,3sf1,"Sacramento, CA (USA)",27-Jun-14,1195
11,11.02,-0.4,Kerron STEWART,16-Apr-84,JAM,2,Kingston (JAM),27-Jun-14,1197
13,11.03,1.7,Remona BURCHELL,15-Sep-91,JAM,1qf2,"Jacksonville, FL (USA)",30-May-14,1193
13,11.03,0.9,Dafne SCHIPPERS,15-Jun-92,NED,1f2,"Hampden Park, Glasgow (GBR)",12-Jul-14,1193
13,11.03,0.8,Myriam SOUMARE,29-Oct-86,FRA,7,"Stade Louis II, Monaco (MON)",18-Jul-14,1193
16,11.04,0.6,Morolake AKINOSUN,17-May-94,USA,1h2,"Eugene, OR (USA)",11-Jun-14,1191
17,11.05,2,Barbara PIERRE,28-Apr-87,USA,2sf2,"Sacramento, CA (USA)",27-Jun-14,1189
18,11.06,1.1,Natasha MORRISON,17-Nov-92,JAM,2h1,Kingston (JAM),27-Jun-14,1187
19,11.07,2,Lekeisha LAWSON,3-Jun-87,USA,3sf2,"Sacramento, CA (USA)",27-Jun-14,1185
20,11.08,1.1,Schillonie CALVERT-POWELL,27-Jul-88,JAM,3h1,Kingston (JAM),27-Jun-14,1182
21,11.09,1.3,Simone FACEY,7-May-85,JAM,1f1,"Clermont, FL (USA)",10-May-14,1180
22,11.1,1.1,Ivet LALOVA-COLLIO,18-May-84,BUL,1f1,Gavardo (ITA),18-May-14,1178
22,11.1,0.9,Kaylin WHITNEY,9-Mar-98,USA,1,"Eugene, OR (USA)",5-Jul-14,1178
22,11.1,0.5,Carrie RUSSELL,18-Oct-90,JAM,1,"Guidobaldi, Rieti (ITA)",7-Sep-14,1178
25,11.11,1.9,Melissa BREEN,17-Sep-90,AUS,1h1,Canberra (AUS),9-Feb-14,1176
25,11.11,0.8,Jenna PRANDINI,20-Nov-92,USA,1f1,"Walnut, CA (USA)",19-Apr-14,1176
25,11.11,1,Tawanna MEADOWS,4-Aug-86,USA,1f1,"San Marcos, TX (USA)",26-Apr-14,1176
25,11.11,1.3,Olivia EKPONE,5-Jan-93,USA,1,"Lexington, KY (USA)",18-May-14,1176
25,11.11,1.2,Alexandria ANDERSON,28-Jan-87,USA,2f1,"Clermont, FL (USA)",31-May-14,1176
25,11.11,-2.1,Jeneba TARMOH,27-Sep-89,USA,1,Edmonton (CAN),6-Jul-14,1188
31,11.12,1,Jamile SAMUEL,24-Apr-92,NED,1f1,Genève (SUI),14-Jun-14,1174
31,11.12,2,Shalonda SOLOMON,19-Dec-85,USA,4sf2,"Sacramento, CA (USA)",27-Jun-14,1174
33,11.13,0,Ana Claudia LEMOS,6-Nov-88,BRA,1,São Paulo (BRA),1-Aug-14,1172
33,11.13,0.5,Jessica YOUNG-WARREN,6-Apr-87,USA,2,"Guidobaldi, Rieti (ITA)",7-Sep-14,1172
35,11.14,1.4,Verena SAILER,16-Oct-85,GER,1f1,Mannheim (GER),5-Jul-14,1169
35,11.14,1.5,Dina ASHER-SMITH,4-Dec-95,GBR,1h1,Mannheim (GER),5-Jul-14,1169
37,11.15,0,Gloria ASUMNU,22-May-85,NGR,1sf3,Calabar (NGR),19-Jun-14,1167
38,11.16,1.2,Aleen BAILEY,25-Nov-80,JAM,3f1,"Clermont, FL (USA)",31-May-14,1165
39,11.17,1.1,Elaine THOMPSON,28-Jun-92,JAM,1f8,Kingston (JAM),31-May-14,1163
39,11.17,1,Carina HORN,9-Mar-89,RSA,1h1,St. Pölten (AUT),14-Jun-14,1163
39,11.17,1,Bianca WILLIAMS,18-Dec-93,GBR,2f1,Genève (SUI),14-Jun-14,1163
42,11.18,0.3,Asha PHILIP,25-Oct-90,GBR,4,"Hampden Park, Glasgow (GBR)",28-Jul-14,1161
43,11.19,-0.6,Christania WILLIAMS,17-Oct-94,JAM,1,Kingston (JAM),28-Mar-14,1162
43,11.19,0.8,Ashleigh NELSON,20-Feb-91,GBR,2h5,"Letzigrund, Zürich (SUI)",12-Aug-14,1159
45,11.2,1.9,Shayla SANDERS,6-Jan-94,USA,1h1,"Austin, TX (USA)",28-Mar-14,1157
45,11.2,1.3,Jodie WILLIAMS,28-Sep-93,GBR,3f1,"Gainesville, FL (USA)",19-Apr-14,1157
45,11.2,0.8,Kimberlyn DUNCAN,2-Aug-91,USA,1f1,"Baton Rouge, LA (USA)",19-Apr-14,1157
45,11.2,1.3,Cierra WHITE,29-Apr-93,USA,1h1,"Lubbock, TX (USA)",17-May-14,1157
45,11.2,2,Bianca KNIGHT,2-Jan-89,USA,5sf2,"Sacramento, CA (USA)",27-Jun-14,1157
45,11.2,0,Tatjana PINTO,2-Jul-92,GER,1,Ulm (GER),26-Jul-14,1157
45,11.2,-1.4,Marie-Josée TA LOU,18-Nov-88,CIV,3,"Le Grande Stade, Marrakesh (MAR)",11-Aug-14,1165
45,11.2,0,Mujinga KAMBUNDJI,17-Jun-92,SUI,2sf3,"Letzigrund, Zürich (SUI)",13-Aug-14,1157
53,11.21,-0.4,Desiree HENRY,26-Aug-95,GBR,2h2,"Letzigrund, Zürich (SUI)",12-Aug-14,1156
54,11.22,0.6,Arianna WASHINGTON,4-Sep-96,USA,1,"Clovis, CA (USA)",7-Jun-14,1152
54,11.22,1,Natalia POHREBNIAK,19-Feb-88,UKR,2h1,St. Pölten (AUT),14-Jun-14,1152
54,11.22,0,Ayodele IKUESAN,15-May-85,FRA,3sf3,"Letzigrund, Zürich (SUI)",13-Aug-14,1152
57,11.23,1.7,Katie WISE,15-Oct-93,USA,1,"Carbondale, IL (USA)",18-May-14,1150
57,11.23,0.1,Trisha-Ann HAWTHORNE,8-Nov-89,JAM,3,Beijing (CHN),21-May-14,1150
57,11.23,-2,Olga SAFRONOVA,5-Nov-91,KAZ,1,Bishkek (KGZ),7-Jun-14,1162
57,11.23,0.6,Jennifer MADU,23-Sep-94,USA,3h3,"Eugene, OR (USA)",11-Jun-14,1150
61,11.24,-1.1,Franciela KRASUCKI,26-Apr-88,BRA,1f1,São Paulo (BRA),5-Apr-14,1154
61,11.24,1.3,Dezerea BRYANT,27-Apr-93,USA,3,"Lexington, KY (USA)",18-May-14,1148
61,11.24,1.4,Hrystyna STUY,3-Feb-88,UKR,1,Izmir (TUR),3-Jun-14,1148
61,11.24,1.5,Céline DISTEL-BONNET,25-Jul-87,FRA,2h1,Reims (FRA),12-Jul-14,1148
61,11.24,1.1,Stella AKAKPO,28-Feb-94,FRA,1h2,Reims (FRA),12-Jul-14,1148
61,11.24,-0.4,Ezinne OKPARAEBO,3-Mar-88,NOR,2h4,"Letzigrund, Zürich (SUI)",12-Aug-14,1150
61,11.24,0,Carmelita JETER,24-Nov-79,USA,2h1,"Alexander Stadium, Birmingham (GBR)",24-Aug-14,1148
68,11.25,0,Jasmine TODD,23-Dec-93,USA,1f2,"Walnut, CA (USA)",19-Apr-14,1146
68,11.25,0.3,Ángela Gabriela TENORIO,27-Jan-96,ECU,1f1,Medellín (COL),31-May-14,1146
70,11.26,1.2,Candyce MCGRONE,24-Mar-89,USA,3f1,"Gainesville, FL (USA)",4-Apr-14,1144
70,11.26,0.3,Muna LEE,30-Oct-81,USA,1,Kuortane (FIN),13-Jul-14,1144
72,11.27,1.8,Sally PEARSON,19-Sep-86,AUS,2,Canberra (AUS),9-Feb-14,1142
72,11.27,1.5,Sharika NELVIS,10-May-90,USA,1f3,"Jonesboro, AR (USA)",26-Apr-14,1142
72,11.27,,Tahesia HARRIGAN-SCOTT,15-Feb-82,IVB,2f2,"Clermont, FL (USA)",31-May-14,1142
75,11.28,1.5,Ruddy ZANG MILAMA,6-Jun-87,GAB,1h5,"Greensboro, NC (USA)",11-May-14,1139
75,11.28,1,Jura LEVY,4-Nov-90,JAM,1,"Gulf Shores, AL (USA)",24-May-14,1139
75,11.28,1.8,Margaret ADEOYE,22-Apr-85,GBR,1h2,Genève (SUI),14-Jun-14,1139
78,11.29,0.9,Tristie JOHNSON,20-Nov-93,USA,1,"Greensboro, NC (USA)",3-May-14,1137
78,11.29,2,Kai SELVON,13-Apr-92,TTO,1f1,"Tallahassee, FL (USA)",9-May-14,1137
78,11.29,1.4,Mikele BARBER,4-Oct-80,USA,1f1,"Los Angeles, CA (USA)",7-Jun-14,1137
78,11.29,0.6,Mahagony JONES,20-Dec-90,USA,2h2,"Eugene, OR (USA)",11-Jun-14,1137
78,11.29,2,Kenyanna WILSON,27-Oct-88,USA,7sf1,"Sacramento, CA (USA)",27-Jun-14,1137
78,11.29,1.5,Andrea PURICA,21-Nov-95,VEN,1,Veracruz (MEX),25-Nov-14,1137
84,11.3,0,Jessica DAVIS,31-Oct-92,USA,2f2,"Walnut, CA (USA)",19-Apr-14,1135
84,11.3,0.2,Hanna Maari LATVALA,30-Oct-87,FIN,3h3,"Letzigrund, Zürich (SUI)",12-Aug-14,1135
84,11.3,0,Ewa SWOBODA,26-Jul-97,POL,1h3,"Olympic Stadium, Nanjing (CHN)",21-Aug-14,1135
84,11.3,-0.5,Tiffany TOWNSEND,14-Jun-89,USA,2,"Stadion PGE Narodowy, Warszawa (POL)",23-Aug-14,1138
84,11.3,0.3,Chisato FUKUSHIMA,27-Jun-88,JPN,1h1,Nagasaki (JPN),19-Oct-14,1135
89,11.31,0.9,Sheniqua FERGUSON,24-Nov-89,BAH,1f1,"Auburn, AL (USA)",5-Apr-14,1133
89,11.31,0.8,Aaliyah BROWN,6-Jan-95,USA,2f1,"Baton Rouge, LA (USA)",19-Apr-14,1133
89,11.31,0.7,Andreea OGRĂZEANU,24-Mar-90,ROU,2f1,Weinheim (GER),31-May-14,1133
89,11.31,1.7,Teahna DANIELS,25-Mar-97,USA,2,"Icahn Stadium, New York, NY (USA)",14-Jun-14,1133
89,11.31,1,Kristina SIVKOVA,28-Feb-97,RUS,1,Kazan (RUS),24-Jul-14,1133
94,11.32,-0.6,Jonielle SMITH,30-Jan-96,JAM,2,Kingston (JAM),28-Mar-14,1134
94,11.32,0,Chelsea HAYES,9-Feb-88,USA,3f2,"Walnut, CA (USA)",19-Apr-14,1131
94,11.32,1.3,Tiffani MCREYNOLDS,4-Dec-91,USA,2h1,"Lubbock, TX (USA)",17-May-14,1131
94,11.32,1.3,Keilah TYSON,6-Nov-92,USA,4,"Lexington, KY (USA)",18-May-14,1131
94,11.32,1,Rebekka HAASE,2-Jan-93,GER,1h2,Ulm (GER),26-Jul-14,1131
94,11.32,0.5,Khamica BINGHAM,15-Jun-94,CAN,3sf2,"Hampden Park, Glasgow (GBR)",28-Jul-14,1131
94,11.32,0.5,Rosângela SANTOS,20-Dec-90,BRA,1,Sao Bernardo do Campo (BRA),23-Aug-14,1131
1,10.71,-0.3,Shelly-Ann FRASER-PRYCE,27-Dec-86,JAM,1,"Luzhniki, Moskva (RUS)",12-Aug-13,1265
2,10.79,1.1,Blessing OKAGBARE-IGHOTEGUONOR,9-Oct-88,NGR,1,"Olympic Stadium, London (GBR)",27-Jul-13,1246
3,10.85,1.8,English GARDNER,22-Apr-92,USA,1,"Drake Stadium, Des Moines, IA (USA)",21-Jun-13,1233
3,10.85,2,Barbara PIERRE,28-Apr-87,USA,1sf1,"Drake Stadium, Des Moines, IA (USA)",21-Jun-13,1233
5,10.87,1.8,Octavious FREEMAN,20-Apr-92,USA,2,"Drake Stadium, Des Moines, IA (USA)",21-Jun-13,1228
6,10.91,1.8,Alexandria ANDERSON,28-Jan-87,USA,3,"Drake Stadium, Des Moines, IA (USA)",21-Jun-13,1220
6,10.91,1.5,Murielle AHOURÉ,23-Aug-87,CIV,1,Sotteville-lès-Rouen (FRA),8-Jul-13,1220
8,10.93,1.8,Jeneba TARMOH,27-Sep-89,USA,4,"Drake Stadium, Des Moines, IA (USA)",21-Jun-13,1215
8,10.93,0.7,Carmelita JETER,24-Nov-79,USA,2h1,"Olympic Stadium, London (GBR)",27-Jul-13,1215
10,10.96,2,Aurieyall SCOTT,18-May-92,USA,2sf1,"Drake Stadium, Des Moines, IA (USA)",21-Jun-13,1209
10,10.96,0.9,Kerron STEWART,16-Apr-84,JAM,1,Kingston (JAM),21-Jun-13,1209
12,10.98,0.5,Carrie RUSSELL,18-Oct-90,JAM,1f2,"Letzigrund, Zürich (SUI)",29-Aug-13,1204
13,11,1.8,Muna LEE,30-Oct-81,USA,7,"Drake Stadium, Des Moines, IA (USA)",21-Jun-13,1200
13,11,1.7,Lauryn WILLIAMS,11-Sep-83,USA,5sf2,"Drake Stadium, Des Moines, IA (USA)",21-Jun-13,1200
15,11.01,0,Veronica CAMPBELL-BROWN,15-May-82,JAM,1,"National Stadium, Kingston (JAM)",4-May-13,1198
16,11.02,1.1,Verena SAILER,16-Oct-85,GER,1f1,Weinheim (GER),2-Aug-13,1195
17,11.04,1.2,Ivet LALOVA-COLLIO,18-May-84,BUL,1,"Bislett Stadion, Oslo (NOR)",13-Jun-13,1191
17,11.04,1.5,Shalonda SOLOMON,19-Dec-85,USA,2f1,"Moratalaz, Madrid (ESP)",13-Jul-13,1191
19,11.05,1.7,Ana Claudia LEMOS,6-Nov-88,BRA,1,"Mangueirão, Belém (BRA)",12-May-13,1189
20,11.06,-0.2,Allyson FELIX,18-Nov-85,USA,,Manchester (GBR),25-May-13,1188
20,11.06,1.1,Mariya RYEMYEN,2-Aug-87,UKR,1f2,Yalta (UKR),5-Jun-13,1187
20,11.06,1.6,Michelle-Lee AHYE,10-Apr-92,TTO,1f2,Port-of-Spain (TTO),22-Jun-13,1187
23,11.07,1.2,Mandy WHITE,23-Oct-88,USA,1,"Walnut, CA (USA)",20-Apr-13,1185
23,11.07,2,Charonda WILLIAMS,27-Mar-87,USA,4sf1,"Drake Stadium, Des Moines, IA (USA)",21-Jun-13,1185
23,11.07,0.9,Schillonie CALVERT-POWELL,27-Jul-88,JAM,2,Kingston (JAM),21-Jun-13,1185
26,11.08,0.9,Kimberlyn DUNCAN,2-Aug-91,USA,3,"Eugene, OR (USA)",7-Jun-13,1182
27,11.09,1.9,Cierra WHITE,29-Apr-93,USA,1f1,"Lubbock, TX (USA)",25-Apr-13,1180
27,11.09,1.5,Dafne SCHIPPERS,15-Jun-92,NED,1f3,"Stade Olympique de la Pontaise, Lausanne (SUI)",4-Jul-13,1180
29,11.12,2,Chauntae BAYNE,4-Apr-84,USA,1,"San Marcos, TX (USA)",6-Apr-13,1174
30,11.13,-0.7,Franciela KRASUCKI,26-Apr-88,BRA,1sf2,São Paulo (BRA),6-Jun-13,1176
31,11.14,1.8,Tori BOWIE,27-Aug-90,USA,2,"Walnut, CA (USA)",20-Apr-13,1169
31,11.14,1.6,Lekeisha LAWSON,3-Jun-87,USA,1f1,"Azusa, CA (USA)",11-May-13,1169
31,11.14,1.1,Olesya POVH,18-Oct-87,UKR,2f2,Yalta (UKR),5-Jun-13,1169
31,11.14,0.9,Sheri-Ann BROOKS,11-Feb-83,JAM,3,Kingston (JAM),21-Jun-13,1169
35,11.15,1.7,Mikele BARBER,4-Oct-80,USA,2,"Mangueirão, Belém (BRA)",12-May-13,1167
36,11.16,2,Jessica YOUNG-WARREN,6-Apr-87,USA,6sf1,"Drake Stadium, Des Moines, IA (USA)",21-Jun-13,1165
37,11.17,0.9,Natasha MORRISON,17-Nov-92,JAM,5,Kingston (JAM),21-Jun-13,1163
38,11.18,0,Sheniqua FERGUSON,24-Nov-89,BAH,1,Nassau (BAH),21-Jun-13,1161
39,11.19,1.2,Candyce MCGRONE,24-Mar-89,USA,2,"Walnut, CA (USA)",20-Apr-13,1159
39,11.19,1.7,Tiffany TOWNSEND,14-Jun-89,USA,8sf2,"Drake Stadium, Des Moines, IA (USA)",21-Jun-13,1159
39,11.19,0.9,Aleen BAILEY,25-Nov-80,JAM,6,Kingston (JAM),21-Jun-13,1159
42,11.2,-0.2,Anyika ONUORA,28-Oct-84,GBR,,Manchester (GBR),25-May-13,1158
42,11.2,2,Dezerea BRYANT,27-Apr-93,USA,8sf1,"Drake Stadium, Des Moines, IA (USA)",21-Jun-13,1157
42,11.2,-0.2,Asha PHILIP,25-Oct-90,GBR,1,Birmingham (GBR),13-Jul-13,1158
45,11.21,0.9,Samantha HENRY-ROBINSON,25-Sep-88,JAM,7,Kingston (JAM),21-Jun-13,1154
46,11.22,1.3,Tatjana PINTO,2-Jul-92,GER,1f1,Weinheim (GER),25-May-13,1152
47,11.23,1.7,Rosângela SANTOS,20-Dec-90,BRA,4,"Mangueirão, Belém (BRA)",12-May-13,1150
47,11.23,0.3,Anneisha MCLAUGHLIN-WHILBY,6-Jan-86,JAM,1f1,Kingston (JAM),18-May-13,1150
47,11.23,2,Viktoriya VRUCHINSKAYA,4-Apr-91,RUS,1h1,Yerino (RUS),2-Jun-13,1150
47,11.23,1.6,Kai SELVON,13-Apr-92,TTO,2f2,Port-of-Spain (TTO),22-Jun-13,1150
47,11.23,-0.3,Ezinne OKPARAEBO,3-Mar-88,NOR,3h1,"Luzhniki, Moskva (RUS)",11-Aug-13,1151
52,11.24,1.8,Natasha HASTINGS,23-Jul-86,USA,6,"Walnut, CA (USA)",20-Apr-13,1148
52,11.24,1.9,Ruddy ZANG MILAMA,6-Jun-87,GAB,1,"Baltimore, MD (USA)",20-Apr-13,1148
52,11.24,1.4,Chastity RIGGIEN,5-Jul-89,USA,1f1,"Clermont, FL (USA)",11-May-13,1148
52,11.24,-0.7,Danielle WILLIAMS,14-Sep-92,JAM,1,"Pueblo, CO (USA)",25-May-13,1152
52,11.24,0.3,Tawanna MEADOWS,4-Aug-86,USA,2h2,"Montverde, FL (USA)",8-Jun-13,1148
52,11.24,0.1,Mariely SÁNCHEZ,30-Dec-88,DOM,2,Morelia (MEX),5-Jul-13,1148
58,11.25,0.3,Melissa BREEN,17-Sep-90,AUS,1,Sydney (AUS),9-Mar-13,1146
58,11.25,1.8,Mary Beth SANT,6-Apr-95,USA,1f1,"Denver, CO (USA)",1-Jun-13,1146
60,11.26,1.5,LaShauntea MOORE,31-Jul-83,USA,5f1,"Moratalaz, Madrid (ESP)",13-Jul-13,1144
60,11.26,1,Stella AKAKPO,28-Feb-94,FRA,1h1,"Guidobaldi, Rieti (ITA)",18-Jul-13,1144
62,11.27,1.4,Gloria ASUMNU,22-May-85,NGR,2f1,"Clermont, FL (USA)",11-May-13,1142
62,11.27,1.1,Natalia POHREBNIAK,19-Feb-88,UKR,3f2,Yalta (UKR),5-Jun-13,1142
62,11.27,0.5,Sherone SIMPSON,12-Aug-84,JAM,2f1,Kingston (JAM),8-Jun-13,1142
65,11.28,0.9,Kataryna GANCHAR,30-Aug-88,BLR,1,Brest (BLR),24-May-13,1139
66,11.29,-0.2,Yekaterina KUZINA,28-Jun-91,RUS,1,Yerino (RUS),15-Jun-13,1138
66,11.29,-0.3,Yongli WEI,11-Oct-91,CHN,1,Pune (IND),4-Jul-13,1138
66,11.29,0.8,Marika POPOWICZ-DRAPAŁA,28-Apr-88,POL,1,Toruń (POL),19-Jul-13,1137
69,11.3,,Ángela Gabriela TENORIO,27-Jan-96,ECU,1,Quito (ECU),29-Jun-13,1135
69,11.3,1.3,Myriam SOUMARE,29-Oct-86,FRA,1,Paris (FRA),13-Jul-13,1135
71,11.31,1.8,Jenna PRANDINI,20-Nov-92,USA,7,"Walnut, CA (USA)",20-Apr-13,1133
71,11.31,0.9,Jennifer MADU,23-Sep-94,USA,5,"Eugene, OR (USA)",7-Jun-13,1133
71,11.31,0.5,Lina GRINČIKAITÉ-SAMUOLÉ,3-May-87,LTU,1,Kaunas (LTU),22-Jun-13,1133
71,11.31,1.8,Hayley MILLS-JONES,4-Sep-88,GBR,1,Manchester (GBR),22-Jun-13,1133
71,11.31,0.9,Céline DISTEL-BONNET,25-Jul-87,FRA,1h1,Paris (FRA),13-Jul-13,1133
76,11.32,1,Emily BLOK,14-Apr-91,USA,1h1,"Las Vegas, NV (USA)",10-May-13,1131
76,11.32,1.4,Debbie FERGUSON-MCKENZIE,16-Jan-76,BAH,3f1,"Clermont, FL (USA)",11-May-13,1131
76,11.32,-0.2,Jodie WILLIAMS,28-Sep-93,GBR,,Manchester (GBR),25-May-13,1132
76,11.32,1.8,Nadine PALMER,19-Feb-83,JAM,1,"New York, NY (USA)",30-May-13,1131
80,11.33,0.9,Tahesia HARRIGAN-SCOTT,15-Feb-82,IVB,3f1,"Gainesville, FL (USA)",20-Apr-13,1129
80,11.33,0,Ana HOLLAND,16-Feb-95,USA,1,"Lakewood, PA (USA)",18-May-13,1129
80,11.33,2,Mahagony JONES,20-Dec-90,USA,1h5,"Greensboro, NC (USA)",23-May-13,1129
80,11.33,1.7,Stephanie KALU,8-May-93,NGR,2h6,"Austin, TX (USA)",23-May-13,1129
80,11.33,1.1,Hrystyna STUY,3-Feb-88,UKR,4f2,Yalta (UKR),5-Jun-13,1129
80,11.33,-0.8,Ky WESTBROOK,25-Feb-96,USA,1,Donetsk (UKR),11-Jul-13,1133
80,11.33,1.4,Shai-Anne DAVIS,4-Dec-93,CAN,1f2,Weinheim (GER),2-Aug-13,1129
80,11.33,0.5,Ashleigh NELSON,20-Feb-91,GBR,1f1,"Letzigrund, Zürich (SUI)",29-Aug-13,1129
88,11.34,1.4,Cleo VANBUREN,1-May-86,USA,1f1,"Arlington, TX (USA)",23-Mar-13,1127
88,11.34,1.8,Chelsea HAYES,9-Feb-88,USA,2f1,"Baton Rouge, LA (USA)",20-Apr-13,1127
88,11.34,1.6,Paris DANIELS,25-Jan-90,USA,2,"Waco, TX (USA)",5-May-13,1127
88,11.34,0.2,Ashley MARSHALL,10-Sep-93,USA,1,"Northridge, CA (USA)",11-May-13,1127
88,11.34,0.6,Remona BURCHELL,15-Sep-91,JAM,1,"Hutchinson, KS (USA)",18-May-13,1127
88,11.34,-0.2,Yuliya KASHINA,26-Feb-87,RUS,2,Yerino (RUS),15-Jun-13,1128
88,11.34,1.5,Kateřina ČECHOVÁ,21-Mar-88,CZE,2f3,"Stade Olympique de la Pontaise, Lausanne (SUI)",4-Jul-13,1127
88,11.34,1.3,Ayodele IKUESAN,15-May-85,FRA,3,Paris (FRA),13-Jul-13,1127
96,11.35,0.3,Ashton PURVIS,12-Jul-92,USA,1f2,"Tempe, AZ (USA)",16-Mar-13,1125
96,11.35,1.6,Shataya HENDRICKS,15-Aug-89,USA,2f1,"Coral Gables, FL (USA)",13-Apr-13,1125
96,11.35,1.4,Trisha-Ann HAWTHORNE,8-Nov-89,JAM,5f1,"Clermont, FL (USA)",11-May-13,1125
96,11.35,1.7,Irene EKELUND,8-Mar-97,SWE,1,Kil (SWE),8-Jun-13,1125
96,11.35,-0.2,Yuliya KATSURA,28-May-83,RUS,3,Yerino (RUS),15-Jun-13,1126
1,10.7,0.6,Shelly-Ann FRASER-PRYCE,27-Dec-86,JAM,1,Kingston (JAM),29-Jun-12,1266
2,10.78,1.5,Carmelita JETER,24-Nov-79,USA,2,"Olympic Stadium, London (GBR)",4-Aug-12,1248
3,10.81,1.5,Veronica CAMPBELL-BROWN,15-May-82,JAM,3,"Olympic Stadium, London (GBR)",4-Aug-12,1242
4,10.85,1.5,Tianna BARTOLETTA,30-Aug-85,USA,4,"Olympic Stadium, London (GBR)",4-Aug-12,1233
5,10.86,1,Kelly-Ann BAPTISTE,14-Oct-86,TTO,2,"National Stadium, Kingston (JAM)",5-May-12,1231
6,10.89,1.5,Allyson FELIX,18-Nov-85,USA,5,"Olympic Stadium, London (GBR)",4-Aug-12,1224
7,10.92,1,Blessing OKAGBARE-IGHOTEGUONOR,9-Oct-88,NGR,1sf3,"Olympic Stadium, London (GBR)",4-Aug-12,1217
8,10.94,0.6,Kerron STEWART,16-Apr-84,JAM,3,Kingston (JAM),29-Jun-12,1213
9,10.96,1.9,Kimberlyn DUNCAN,2-Aug-91,USA,1,"Baton Rouge, LA (USA)",13-May-12,1209
10,10.99,1.3,Murielle AHOURÉ,23-Aug-87,CIV,1h7,"Olympic Stadium, London (GBR)",3-Aug-12,1202
11,11.01,1.9,Ashley COLLIER,4-Feb-92,USA,1,"Manhattan, KS (USA)",13-May-12,1198
11,11.01,0.6,Sherone SIMPSON,12-Aug-84,JAM,4,Kingston (JAM),29-Jun-12,1198
13,11.03,1.1,Ruddy ZANG MILAMA,6-Jun-87,GAB,1,Port-of-Spain (TTO),19-May-12,1193
14,11.04,1.5,Aleen BAILEY,25-Nov-80,JAM,2h3,Kingston (JAM),29-Jun-12,1191
15,11.05,1.3,Sheri-Ann BROOKS,11-Feb-83,JAM,1,Edmonton (CAN),16-Jun-12,1189
15,11.05,0.6,Schillonie CALVERT-POWELL,27-Jul-88,JAM,5,Kingston (JAM),29-Jun-12,1189
15,11.05,1.4,Verena SAILER,16-Oct-85,GER,1f1,Weinheim (GER),27-Jul-12,1189
18,11.06,1.7,Ivet LALOVA-COLLIO,18-May-84,BUL,1h2,Helsinki (FIN),27-Jun-12,1187
19,11.07,0.9,Sheniqua FERGUSON,24-Nov-89,BAH,1,"Auburn, AL (USA)",21-Apr-12,1185
19,11.07,0.9,Jeneba TARMOH,27-Sep-89,USA,3,"Hayward Field, Eugene, OR (USA)",23-Jun-12,1185
19,11.07,0.4,Myriam SOUMARE,29-Oct-86,FRA,2h1,"Olympic Stadium, London (GBR)",3-Aug-12,1185
19,11.07,1.3,LaVerne JONES-FERRETTE,16-Sep-81,ISV,2h7,"Olympic Stadium, London (GBR)",3-Aug-12,1185
23,11.08,1.2,Olesya POVH,18-Oct-87,UKR,1,Yalta (UKR),4-Jun-12,1182
24,11.09,1.5,Octavious FREEMAN,20-Apr-92,USA,1,"New Orleans, LA (USA)",13-May-12,1180
25,11.1,1.9,Semoy HACKETT,27-Nov-88,TTO,2,"Baton Rouge, LA (USA)",13-May-12,1178
25,11.1,1.8,English GARDNER,22-Apr-92,USA,1h3,"Des Moines, IA (USA)",6-Jun-12,1178
25,11.1,1.2,Ezinne OKPARAEBO,3-Mar-88,NOR,4sf2,"Olympic Stadium, London (GBR)",4-Aug-12,1178
28,11.11,0.2,LaShauntea MOORE,31-Jul-83,USA,1,Baie Mahault (FRA),1-May-12,1176
28,11.11,0.6,Samantha HENRY-ROBINSON,25-Sep-88,JAM,6,Kingston (JAM),29-Jun-12,1176
30,11.12,0.7,Olga SAFRONOVA,5-Nov-91,KAZ,1,Tashkent (UZB),1-Jun-12,1174
30,11.12,1.4,Alexandria ANDERSON,28-Jan-87,USA,1sf2,"Hayward Field, Eugene, OR (USA)",23-Jun-12,1174
32,11.13,0.7,Mikele BARBER,4-Oct-80,USA,6,"Suhaim bin Hamad Stadium, Doha (QAT)",11-May-12,1172
32,11.13,-0.3,Gloria ASUMNU,22-May-85,NGR,2,Calabar (NGR),21-Jun-12,1173
32,11.13,1.4,Bianca KNIGHT,2-Jan-89,USA,2sf2,"Hayward Field, Eugene, OR (USA)",23-Jun-12,1172
32,11.13,0.1,Charonda WILLIAMS,27-Mar-87,USA,3f1,Luzern (SUI),17-Jul-12,1172
36,11.15,1.8,Chelsea HAYES,9-Feb-88,USA,2h3,"Des Moines, IA (USA)",6-Jun-12,1167
36,11.15,1.4,Lauryn WILLIAMS,11-Sep-83,USA,3sf2,"Hayward Field, Eugene, OR (USA)",23-Jun-12,1167
38,11.17,1.9,Allison PETER,14-Jul-92,ISV,2,"Manhattan, KS (USA)",13-May-12,1163
38,11.17,1.4,Anne CIBIS,27-Sep-85,GER,2f1,Weinheim (GER),27-Jul-12,1163
