"site","temp_C","spp_richness"
"seaflower_marine_reserve_1",27.8095503177204,114
"seaflower_marine_reserve_2",27.8098131819074,95
"seaflower_marine_reserve_3",27.8057606154961,98
"seychelles_1",27.8866861281755,153
"seychelles_2",27.8756729639895,131
"seychelles_3",26.8424802432316,160
"seychelles_4",26.7505114566849,199
"seychelles_5",26.7002239624224,171
"seychelles_6",26.9040026878867,233
"society_islands_1",27.7706401376839,119
"society_islands_2",27.7303471513019,116
"society_islands_4",27.6178142781587,143
"society_islands_6",27.6872228270423,98
"society_islands_7",27.7067326653304,100
"solomon_1",29.2829566252584,130
"solomon_10",29.3147802906517,113
"solomon_11",29.30259518451,144
"solomon_12",29.2849747030001,158
"solomon_13",29.2761110559612,108
"solomon_14",29.295716753664,90
"solomon_15",29.3076581453572,92
"solomon_16",29.3339505989476,99
"solomon_17",29.3501307601344,151
"solomon_18",29.3879785161682,137
"solomon_19",29.3269927723645,96
"solomon_2",29.3167572815343,90
"solomon_20",29.3777813551068,83
"solomon_21",29.3672501620432,183
"solomon_22",29.3496953994525,81
"solomon_23",29.3321488564273,99
"solomon_24",29.2926718512344,85
"solomon_25",29.3469763481082,85
"solomon_26",29.3421324205555,106
"solomon_27",29.3135973767409,134
"solomon_28",29.3512260691882,151
"solomon_29",29.3325732608223,143
"solomon_3",29.3248733831784,75
"solomon_30",29.1649582900458,121
"solomon_31",29.0929237910978,99
"solomon_32",29.0592080107916,81
"solomon_33",28.9166422945254,137
"solomon_34",29.0434960796695,146
"solomon_35",29.0929593575092,68
"solomon_36",29.0720064616543,89
"solomon_37",29.2163492878583,133
"solomon_38",29.1788766867229,83
"solomon_39",29.2460973808564,127
"solomon_4",29.3340628792135,55
"solomon_40",29.2895803916363,117
"solomon_41",29.3008509314204,99
"solomon_42",29.2546488687739,64
"solomon_43",29.2991504904213,85
"solomon_44",29.283578214614,50
"solomon_45",29.339832311131,18
"solomon_46",29.3585261452498,29
"solomon_47",29.3581154500537,183
"solomon_5",29.3472063486573,82
"solomon_6",29.3554648397264,70
"solomon_7",29.3674774258709,94
"solomon_8",29.3642654930775,70
"solomon_9",29.3306838794971,138
"southern_coral_sea_2",24.7248625253926,183
"southern_coral_sea_3",25.168044361854,163
"southern_coral_sea_4",25.1828033890155,170
"southern_coral_sea_5",25.2269189355146,109
"southern_coral_sea_6",25.6888329175843,175
"southern_coral_sea_7",25.350746957522,171
"southern_coral_sea_8",25.6157907708451,227
"southern_gbr_1",24.2059468836539,152
"southwestern_caribbean_2",27.7925952162434,70
"southwestern_caribbean_3",27.7966998075212,69
"stome_1",27.3857113220867,44
"stome_2",27.3226280854801,46
"stome_3",27.2065492323952,48
"stome_4",27.3133482483888,40
"stome_5",27.1989588674815,36
"stpauls_rocks_1",27.3369353107398,28
"tanzania_1",27.536771020649,174
"tonga_1",26.0098515606658,242
"tonga_10",25.5714041484277,292
"tonga_11",26.5575788190827,241
"tonga_2",25.977143449564,78
"tonga_3",25.9111330485683,125
"tonga_4",26.5534331372899,191
"tonga_5",27.8301445166096,130
"tonga_7",25.9271735721977,136
"tonga_8",25.7077924246856,104
"trindade_1",25.2524912104027,73
"trindade_2",25.202537764333,32
"turks_and_caicos_islands_1",27.1521434282551,42
"whitsundays_2",25.6753279925176,131
